"","habitatbenthopelagic","habitatdemersal","habitatpelagic","SpecCode","waterbrack","watersaltwater","Species","Genus","Subfamily","Family","Order","Class","SuperClass","c_m","tm","Lm","tmax","K","Woo","M","TLDiet","Loo","fecundity","Min_caudalpeduncle_depth","Lower_jaw_length","Max_body_depth","Max_body_width","Temperature"
"Abantennarius_rosaceus",1,0,0,7296,0,1,"Abantennarius rosaceus","Abantennarius",NA,"Antennariidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.80999994277954,NA,NA,NA,NA,NA,NA,26.8
"Abantennarius_sanguineus",1,0,0,13451,0,1,"Abantennarius sanguineus","Abantennarius",NA,"Antennariidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.03000020980835,NA,NA,NA,NA,NA,NA,26.4
"Ablabys_binotatus",1,0,0,8049,0,1,"Ablabys binotatus","Ablabys",NA,"Tetrarogidae","Scorpaeniformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.22000002861023,NA,NA,NA,NA,NA,NA,NA
"Ablabys_gymnothorax",1,0,0,69366,0,1,"Ablabys gymnothorax","Ablabys",NA,"Tetrarogidae","Scorpaeniformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.17000007629395,NA,NA,NA,NA,NA,NA,NA
"Ablabys_macracanthus",1,0,0,25701,0,1,"Ablabys macracanthus","Ablabys",NA,"Tetrarogidae","Scorpaeniformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,28.2
"Ablabys_pauciporus",1,0,0,69367,0,1,"Ablabys pauciporus","Ablabys",NA,"Tetrarogidae","Scorpaeniformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.11999988555908,NA,NA,NA,NA,NA,NA,NA
"Ablabys_taenianotus",1,0,0,10232,0,1,"Ablabys taenianotus","Ablabys",NA,"Tetrarogidae","Scorpaeniformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.22000002861023,NA,NA,-1.46572185933791,-1.29433439218726,-0.135595379163509,-0.714252995788323,28.1
"Ablennes_hians",1,0,0,972,1,1,"Ablennes hians","Ablennes",NA,"Belonidae","Beloniformes","Teleostei","Osteichthyes",NA,NA,NA,NA,0.605,8.23429963569625,NA,4.5,NA,6.49223983502047,-2.09100242416796,0.808859157668123,-0.790297022778071,-1.33591981356023,27.9
"Aboma_etheostoma",0,1,0,46918,0,1,"Aboma etheostoma","Aboma","Gobiinae","Gobiidae","Gobiiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.14000010490417,NA,NA,NA,NA,NA,NA,NA
"Abyssobrotula_galatheae",0,0,1,17075,0,1,"Abyssobrotula galatheae","Abyssobrotula","Neobythitinae","Ophidiidae","Ophidiiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.46000003814697,NA,NA,NA,NA,NA,NA,1.4
"Acanthaluteres_brownii",1,0,0,14532,0,1,"Acanthaluteres brownii","Acanthaluteres",NA,"Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.78999996185303,NA,NA,NA,NA,NA,NA,17.1
"Acanthaluteres_spilomelanurus",0,1,0,51356,1,1,"Acanthaluteres spilomelanurus","Acanthaluteres",NA,"Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.88000011444092,NA,NA,-1.3260236517619,-2.01568420111606,-0.0299672844129717,-0.967825795097975,17.5
"Acanthaluteres_vittiger",0,1,0,14550,0,1,"Acanthaluteres vittiger","Acanthaluteres",NA,"Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,-1.46164622436645,-2.32853363115474,0.0200294119681096,-0.971739863948139,17.2
"Acanthanectes_hystrix",0,1,0,56310,0,1,"Acanthanectes hystrix","Acanthanectes","Tripterygiinae","Tripterygiidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.13000011444092,NA,NA,NA,NA,NA,NA,21.3
"Acanthanectes_rufus",1,0,0,56311,0,1,"Acanthanectes rufus","Acanthanectes","Tripterygiinae","Tripterygiidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.13000011444092,NA,NA,NA,NA,NA,NA,21.7
"Acanthaphritis_barbata",0,1,0,12559,0,1,"Acanthaphritis barbata","Acanthaphritis",NA,"Hemerocoetidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.33999991416931,NA,NA,NA,NA,NA,NA,27.8
"Acanthaphritis_grandisquamis",0,1,0,59262,0,1,"Acanthaphritis grandisquamis","Acanthaphritis",NA,"Hemerocoetidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.34999990463257,NA,NA,NA,NA,NA,NA,24.4
"Acanthaphritis_ozawai",0,1,0,59416,0,1,"Acanthaphritis ozawai","Acanthaphritis",NA,"Hemerocoetidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.35999989509583,NA,NA,NA,NA,NA,NA,NA
"Acanthaphritis_unoorum",0,1,0,59263,0,1,"Acanthaphritis unoorum","Acanthaphritis",NA,"Hemerocoetidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.34999990463257,NA,NA,NA,NA,NA,NA,NA
"Acanthemblemaria_aspera",1,0,0,3708,0,1,"Acanthemblemaria aspera","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.12,NA,NA,-1.48489285416996,-1.2737145321333,-0.579495657014699,-0.782642747017882,27.9
"Acanthemblemaria_atrata",0,1,0,60573,0,1,"Acanthemblemaria atrata","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.25999999046326,NA,NA,NA,NA,NA,NA,NA
"Acanthemblemaria_balanorum",1,0,0,46703,0,1,"Acanthemblemaria balanorum","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,26.2
"Acanthemblemaria_betinensis",1,0,0,47263,0,1,"Acanthemblemaria betinensis","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.38000011444092,NA,NA,NA,NA,NA,NA,NA
"Acanthemblemaria_castroi",1,0,0,25510,0,1,"Acanthemblemaria castroi","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.4300000667572,NA,NA,NA,NA,NA,NA,23.8
"Acanthemblemaria_chaplini",0,1,0,3709,0,1,"Acanthemblemaria chaplini","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.3199999332428,NA,NA,NA,NA,NA,NA,27.1
"Acanthemblemaria_crockeri",1,0,0,46704,0,1,"Acanthemblemaria crockeri","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,25.2
"Acanthemblemaria_exilispinus",1,0,0,46709,0,1,"Acanthemblemaria exilispinus","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,-1.24502945471467,-0.697451929930926,-0.577049410105945,-0.727771053719381,27.9
"Acanthemblemaria_greenfieldi",1,0,0,47265,0,1,"Acanthemblemaria greenfieldi","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.30999994277954,NA,NA,NA,NA,NA,NA,NA
"Acanthemblemaria_hancocki",1,0,0,46714,0,1,"Acanthemblemaria hancocki","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,28.2
"Acanthemblemaria_harpeza",0,1,0,60576,0,1,"Acanthemblemaria harpeza","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.3199999332428,NA,NA,NA,NA,NA,NA,NA
"Acanthemblemaria_hastingsi",0,1,0,65600,0,1,"Acanthemblemaria hastingsi","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.45000004768372,NA,NA,NA,NA,NA,NA,25.6
"Acanthemblemaria_johnsoni",1,0,0,55035,0,1,"Acanthemblemaria johnsoni","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.07999992370605,NA,NA,NA,NA,NA,NA,NA
"Acanthemblemaria_macrospilus",1,0,0,46717,0,1,"Acanthemblemaria macrospilus","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,28
"Acanthemblemaria_mangognatha",0,1,0,60574,0,1,"Acanthemblemaria mangognatha","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,26
"Acanthemblemaria_maria",1,0,0,16485,0,1,"Acanthemblemaria maria","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.36999988555908,NA,NA,NA,NA,NA,NA,28
"Acanthemblemaria_medusa",1,0,0,27905,0,1,"Acanthemblemaria medusa","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.26999998092651,NA,NA,NA,NA,NA,NA,NA
"Acanthemblemaria_paula",1,0,0,54806,0,1,"Acanthemblemaria paula","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.03999996185303,NA,NA,-1.86401473830207,-1.52192285241278,-0.710992636196447,-0.828775671852831,NA
"Acanthemblemaria_rivasi",1,0,0,47268,0,1,"Acanthemblemaria rivasi","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.24000000953674,NA,NA,NA,NA,NA,NA,NA
"Acanthemblemaria_spinosa",1,0,0,16486,0,1,"Acanthemblemaria spinosa","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.17000007629395,NA,NA,-1.36120618994426,-1.14212930460948,-0.552072464700225,-0.705051921802653,27.9
"Acanthemblemaria_stephensi",1,0,0,46725,0,1,"Acanthemblemaria stephensi","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA
"Acanthistius_brasilianus",1,0,0,351,1,1,"Acanthistius brasilianus","Acanthistius",NA,"Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.01,NA,NA,NA,NA,NA,NA,8.1
"Acanthistius_cinctus",1,0,0,12690,0,1,"Acanthistius cinctus","Acanthistius",NA,"Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.09999990463257,NA,NA,NA,NA,NA,NA,NA
"Acanthistius_fuscus",0,0,1,59850,0,1,"Acanthistius fuscus","Acanthistius",NA,"Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.03000020980835,NA,NA,NA,NA,NA,NA,NA
"Acanthistius_joanae",0,0,1,65330,0,1,"Acanthistius joanae","Acanthistius",NA,"Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.74000000953674,NA,NA,NA,NA,NA,NA,17.9
"Acanthistius_ocellatus",1,0,0,15036,0,1,"Acanthistius ocellatus","Acanthistius",NA,"Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.07000017166138,NA,NA,-1.32137452739482,-0.68947318972194,-0.0629396748664764,-0.840765074853598,22.3
"Acanthistius_pardalotus",1,0,0,15038,0,1,"Acanthistius pardalotus","Acanthistius",NA,"Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.05000019073486,NA,NA,NA,NA,NA,NA,NA
"Acanthistius_patachonicus",0,1,0,50141,0,1,"Acanthistius patachonicus","Acanthistius",NA,"Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.01000022888184,NA,NA,NA,NA,NA,NA,NA
"Acanthistius_paxtoni",1,0,0,15040,0,1,"Acanthistius paxtoni","Acanthistius",NA,"Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.05000019073486,NA,NA,NA,NA,NA,NA,21.7
"Acanthistius_pictus",1,0,0,57960,0,1,"Acanthistius pictus","Acanthistius",NA,"Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.23,NA,NA,NA,NA,NA,NA,NA
"Acanthistius_sebastoides",0,1,0,7920,0,1,"Acanthistius sebastoides","Acanthistius",NA,"Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.98000001907349,NA,NA,NA,NA,NA,NA,22.1
"Acanthistius_serratus",1,0,0,15042,0,1,"Acanthistius serratus","Acanthistius",NA,"Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.09999990463257,NA,NA,NA,NA,NA,NA,18
"Acanthocepola_abbreviata",1,0,0,10354,0,1,"Acanthocepola abbreviata","Acanthocepola","Cepolinae","Cepolidae","Eupercaria/misc","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,28.3
"Acanthocepola_indica",1,0,0,9216,0,1,"Acanthocepola indica","Acanthocepola","Cepolinae","Cepolidae","Eupercaria/misc","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.35999989509583,NA,NA,NA,NA,NA,NA,NA
"Acanthocepola_krusensternii",0,1,0,9215,1,1,"Acanthocepola krusensternii","Acanthocepola","Cepolinae","Cepolidae","Eupercaria/misc","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.36999988555908,NA,NA,NA,NA,NA,NA,21.5
"Acanthocepola_limbata",0,1,0,9214,0,1,"Acanthocepola limbata","Acanthocepola","Cepolinae","Cepolidae","Eupercaria/misc","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.40000009536743,NA,NA,NA,NA,NA,NA,24
"Acanthochaenus_luetkenii",1,0,0,9046,0,1,"Acanthochaenus luetkenii","Acanthochaenus",NA,"Stephanoberycidae","Beryciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,0.414,3.44457099802479,NA,3.5,NA,NA,-1.49359403140902,-0.484063525065582,-0.364423575537286,-0.638230947707742,2
"Acanthochromis_polyacanthus",1,0,0,6655,0,1,"Acanthochromis polyacanthus","Acanthochromis","Pomacentrinae","Pomacentridae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA,NA,NA,1.06555555555556,4.2610183409599,0.385555555555556,2.69,NA,NA,-1.1073694756458,-1.63283405616587,0.176242863927823,-0.975568599884651,27.8
"Acanthoclinus_fuscus",0,1,0,12865,1,1,"Acanthoclinus fuscus","Acanthoclinus","Acanthoclininae","Plesiopidae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.64,NA,NA,NA,NA,NA,NA,16.3
"Acanthoclinus_littoreus",0,1,0,49224,0,1,"Acanthoclinus littoreus","Acanthoclinus","Acanthoclininae","Plesiopidae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA,NA,2.19722457733622,0.371445,3.65704017105152,0.46667,3.37,2.98315349134713,NA,NA,NA,NA,NA,NA
"Acanthoclinus_marilynae",0,1,0,46323,0,1,"Acanthoclinus marilynae","Acanthoclinus","Acanthoclininae","Plesiopidae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.69,NA,NA,NA,NA,NA,NA,NA
"Acanthoclinus_matti",1,0,0,47430,0,1,"Acanthoclinus matti","Acanthoclinus","Acanthoclininae","Plesiopidae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.53999996185303,NA,NA,NA,NA,NA,NA,NA
"Acanthoclinus_rua",0,1,0,46322,0,1,"Acanthoclinus rua","Acanthoclinus","Acanthoclininae","Plesiopidae","Ovalentaria/misc","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.41000008583069,NA,NA,NA,NA,NA,NA,NA
"Acanthocybium_solandri",0,0,1,89,0,1,"Acanthocybium solandri","Acanthocybium","Scombrinae","Scombridae","Scombriformes","Teleostei","Osteichthyes",NA,0.693147180559945,NA,2.12823170584927,0.31316375,10.5134127139128,0.45161,4.26,NA,13.9521327940072,-1.93257940602491,-0.519197187288397,-0.467881389644761,-0.947309599960438,24.7
"Acanthodraco_dewitti",0,1,0,54894,0,1,"Acanthodraco dewitti","Acanthodraco","Gymnodraconinae","Bathydraconidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.66000008583069,NA,NA,NA,NA,NA,NA,0.9
"Acanthogobius_elongatus",0,0,1,67583,0,1,"Acanthogobius elongatus","Acanthogobius","Gobionellinae","Gobiidae","Gobiiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.38000011444092,NA,NA,NA,NA,NA,NA,NA
