"","habitatbenthopelagic","habitatdemersal","habitatpelagic","SpecCode","Genus","Subfamily","waterbrack","watersaltwater","Species","Family","Order","Class","SuperClass","c_m","tm","Lm","tmax","K","Woo","M","TLDiet","Loo","fecundity","Min_caudalpeduncle_depth","Lower_jaw_length","Max_body_depth","Max_body_width","Temperature"
"Abudefduf_troschelii",1,0,0,8245,"Abudefduf","Glyphisodontinae",0,1,"Abudefduf troschelii","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.95,NA,NA,-1.05691204029371,-1.54334156676923,0.202576083283631,-0.951241319854992,26.4
"Abudefduf_vaigiensis",1,0,0,6630,"Abudefduf","Glyphisodontinae",0,1,"Abudefduf vaigiensis","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA,NA,NA,-0.162518929497775,5.20879274308953,NA,2.57,2.9391619220656,NA,-1.01547233742867,-1.67181148851504,0.169203730233477,-0.869034620717773,28.2
"Abudefduf_whitleyi",1,0,0,9626,"Abudefduf","Glyphisodontinae",0,1,"Abudefduf whitleyi","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.64,NA,NA,-1.02761712988369,-1.68128298719765,0.148804459704184,-0.885559500321112,26.2
"Abyssoberyx_levisquamosus",0,0,1,63844,"Abyssoberyx",NA,0,1,"Abyssoberyx levisquamosus","Stephanoberycidae","Beryciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.38000011444092,NA,NA,NA,NA,NA,NA,NA
"Abalistes_filamentosus",0,0,1,62612,"Abalistes",NA,0,1,"Abalistes filamentosus","Balistidae","Tetraodontiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.38000011444092,NA,NA,NA,NA,NA,NA,23.9
"Abalistes_stellatus",0,1,0,9,"Abalistes",NA,0,1,"Abalistes stellatus","Balistidae","Tetraodontiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.64,NA,NA,-2.30135416513409,-1.99323204231423,0.0314398309204065,-0.853705910057779,27.1
"Abantennarius_analis",1,0,0,11144,"Abantennarius",NA,0,1,"Abantennarius analis","Antennariidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,28.8
"Abantennarius_bermudensis",1,0,0,16680,"Abantennarius",NA,0,1,"Abantennarius bermudensis","Antennariidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.98000001907349,NA,NA,NA,NA,NA,NA,27.2
"Abantennarius_coccineus",1,0,0,5402,"Abantennarius",NA,0,1,"Abantennarius coccineus","Antennariidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,27.7
"Abantennarius_dorehensis",1,0,0,7294,"Abantennarius",NA,0,1,"Abantennarius dorehensis","Antennariidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.25,NA,NA,NA,NA,NA,NA,28.5
"Abantennarius_drombus",1,0,0,69666,"Abantennarius",NA,0,1,"Abantennarius drombus","Antennariidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.28000020980835,NA,NA,NA,NA,NA,NA,NA
"Abantennarius_duescus",0,1,0,27298,"Abantennarius",NA,0,1,"Abantennarius duescus","Antennariidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.39000010490417,NA,NA,NA,NA,NA,NA,26.6
"Abantennarius_nummifer",1,0,0,5403,"Abantennarius",NA,0,1,"Abantennarius nummifer","Antennariidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.2,NA,10.7954855918412,NA,NA,NA,NA,28.2
"Abantennarius_rosaceus",1,0,0,7296,"Abantennarius",NA,0,1,"Abantennarius rosaceus","Antennariidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.80999994277954,NA,NA,NA,NA,NA,NA,26.8
"Abantennarius_sanguineus",1,0,0,13451,"Abantennarius",NA,0,1,"Abantennarius sanguineus","Antennariidae","Lophiiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.03000020980835,NA,NA,NA,NA,NA,NA,26.4
"Ablabys_binotatus",1,0,0,8049,"Ablabys",NA,0,1,"Ablabys binotatus","Tetrarogidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.22000002861023,NA,NA,NA,NA,NA,NA,NA
"Ablabys_gymnothorax",1,0,0,69366,"Ablabys",NA,0,1,"Ablabys gymnothorax","Tetrarogidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.17000007629395,NA,NA,NA,NA,NA,NA,NA
"Ablabys_macracanthus",1,0,0,25701,"Ablabys",NA,0,1,"Ablabys macracanthus","Tetrarogidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,28.2
"Ablabys_pauciporus",1,0,0,69367,"Ablabys",NA,0,1,"Ablabys pauciporus","Tetrarogidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.11999988555908,NA,NA,NA,NA,NA,NA,NA
"Ablabys_taenianotus",1,0,0,10232,"Ablabys",NA,0,1,"Ablabys taenianotus","Tetrarogidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.22000002861023,NA,NA,-1.46572185933791,-1.29433439218726,-0.135595379163509,-0.714252995788323,28.1
"Ablennes_hians",1,0,0,972,"Ablennes",NA,1,1,"Ablennes hians","Belonidae","Beloniformes","Teleostei","Osteichthyes",NA,NA,NA,NA,-0.502526820951296,8.23429963569625,NA,4.5,NA,6.49223983502047,-2.09100242416796,0.808859157668123,-0.790297022778071,-1.33591981356023,27.9
"Aboma_etheostoma",0,1,0,46918,"Aboma","Gobiinae",0,1,"Aboma etheostoma","Gobiidae","Gobiiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.14000010490417,NA,NA,NA,NA,NA,NA,NA
"Abyssobrotula_galatheae",0,0,1,17075,"Abyssobrotula","Neobythitinae",0,1,"Abyssobrotula galatheae","Ophidiidae","Ophidiiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.46000003814697,NA,NA,NA,NA,NA,NA,1.4
"Acanthaluteres_brownii",1,0,0,14532,"Acanthaluteres",NA,0,1,"Acanthaluteres brownii","Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.78999996185303,NA,NA,NA,NA,NA,NA,17.1
"Acanthaluteres_spilomelanurus",0,1,0,51356,"Acanthaluteres",NA,1,1,"Acanthaluteres spilomelanurus","Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2.88000011444092,NA,NA,-1.3260236517619,-2.01568420111606,-0.0299672844129717,-0.967825795097975,17.5
"Acanthaluteres_vittiger",0,1,0,14550,"Acanthaluteres",NA,0,1,"Acanthaluteres vittiger","Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,-1.46164622436645,-2.32853363115474,0.0200294119681096,-0.971739863948139,17.2
"Acanthanectes_hystrix",0,1,0,56310,"Acanthanectes","Tripterygiinae",0,1,"Acanthanectes hystrix","Tripterygiidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.13000011444092,NA,NA,NA,NA,NA,NA,21.3
"Acanthanectes_rufus",1,0,0,56311,"Acanthanectes","Tripterygiinae",0,1,"Acanthanectes rufus","Tripterygiidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.13000011444092,NA,NA,NA,NA,NA,NA,21.7
"Acanthaphritis_barbata",0,1,0,12559,"Acanthaphritis",NA,0,1,"Acanthaphritis barbata","Hemerocoetidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.33999991416931,NA,NA,NA,NA,NA,NA,27.8
"Acanthaphritis_grandisquamis",0,1,0,59262,"Acanthaphritis",NA,0,1,"Acanthaphritis grandisquamis","Hemerocoetidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.34999990463257,NA,NA,NA,NA,NA,NA,24.4
"Acanthaphritis_ozawai",0,1,0,59416,"Acanthaphritis",NA,0,1,"Acanthaphritis ozawai","Hemerocoetidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.35999989509583,NA,NA,NA,NA,NA,NA,NA
"Acanthaphritis_unoorum",0,1,0,59263,"Acanthaphritis",NA,0,1,"Acanthaphritis unoorum","Hemerocoetidae","Acropomatiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.34999990463257,NA,NA,NA,NA,NA,NA,NA
"Acanthemblemaria_aspera",1,0,0,3708,"Acanthemblemaria",NA,0,1,"Acanthemblemaria aspera","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.12,NA,NA,-1.48489285416996,-1.2737145321333,-0.579495657014699,-0.782642747017882,27.9
"Acanthemblemaria_atrata",0,1,0,60573,"Acanthemblemaria",NA,0,1,"Acanthemblemaria atrata","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.25999999046326,NA,NA,NA,NA,NA,NA,NA
"Acanthemblemaria_balanorum",1,0,0,46703,"Acanthemblemaria",NA,0,1,"Acanthemblemaria balanorum","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,26.2
"Acanthemblemaria_betinensis",1,0,0,47263,"Acanthemblemaria",NA,0,1,"Acanthemblemaria betinensis","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.38000011444092,NA,NA,NA,NA,NA,NA,NA
"Acanthemblemaria_castroi",1,0,0,25510,"Acanthemblemaria",NA,0,1,"Acanthemblemaria castroi","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.4300000667572,NA,NA,NA,NA,NA,NA,23.8
"Acanthemblemaria_chaplini",0,1,0,3709,"Acanthemblemaria",NA,0,1,"Acanthemblemaria chaplini","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.3199999332428,NA,NA,NA,NA,NA,NA,27.1
"Acanthemblemaria_crockeri",1,0,0,46704,"Acanthemblemaria",NA,0,1,"Acanthemblemaria crockeri","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,25.2
"Acanthemblemaria_exilispinus",1,0,0,46709,"Acanthemblemaria",NA,0,1,"Acanthemblemaria exilispinus","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,-1.24502945471467,-0.697451929930926,-0.577049410105945,-0.727771053719381,27.9
"Acanthemblemaria_greenfieldi",1,0,0,47265,"Acanthemblemaria",NA,0,1,"Acanthemblemaria greenfieldi","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.30999994277954,NA,NA,NA,NA,NA,NA,NA
"Acanthemblemaria_hancocki",1,0,0,46714,"Acanthemblemaria",NA,0,1,"Acanthemblemaria hancocki","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,28.2
"Acanthemblemaria_harpeza",0,1,0,60576,"Acanthemblemaria",NA,0,1,"Acanthemblemaria harpeza","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.3199999332428,NA,NA,NA,NA,NA,NA,NA
"Acanthemblemaria_hastingsi",0,1,0,65600,"Acanthemblemaria",NA,0,1,"Acanthemblemaria hastingsi","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.45000004768372,NA,NA,NA,NA,NA,NA,25.6
"Acanthemblemaria_johnsoni",1,0,0,55035,"Acanthemblemaria",NA,0,1,"Acanthemblemaria johnsoni","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.07999992370605,NA,NA,NA,NA,NA,NA,NA
"Acanthemblemaria_macrospilus",1,0,0,46717,"Acanthemblemaria",NA,0,1,"Acanthemblemaria macrospilus","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,28
"Acanthemblemaria_mangognatha",0,1,0,60574,"Acanthemblemaria",NA,0,1,"Acanthemblemaria mangognatha","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,26
"Acanthemblemaria_maria",1,0,0,16485,"Acanthemblemaria",NA,0,1,"Acanthemblemaria maria","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.36999988555908,NA,NA,NA,NA,NA,NA,28
"Acanthemblemaria_medusa",1,0,0,27905,"Acanthemblemaria",NA,0,1,"Acanthemblemaria medusa","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.26999998092651,NA,NA,NA,NA,NA,NA,NA
"Acanthemblemaria_paula",1,0,0,54806,"Acanthemblemaria",NA,0,1,"Acanthemblemaria paula","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.03999996185303,NA,NA,-1.86401473830207,-1.52192285241278,-0.710992636196447,-0.828775671852831,NA
"Acanthemblemaria_rivasi",1,0,0,47268,"Acanthemblemaria",NA,0,1,"Acanthemblemaria rivasi","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.24000000953674,NA,NA,NA,NA,NA,NA,NA
"Acanthemblemaria_spinosa",1,0,0,16486,"Acanthemblemaria",NA,0,1,"Acanthemblemaria spinosa","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.17000007629395,NA,NA,-1.36120618994426,-1.14212930460948,-0.552072464700225,-0.705051921802653,27.9
"Acanthemblemaria_stephensi",1,0,0,46725,"Acanthemblemaria",NA,0,1,"Acanthemblemaria stephensi","Chaenopsidae","Blenniiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA
"Acanthistius_brasilianus",1,0,0,351,"Acanthistius",NA,1,1,"Acanthistius brasilianus","Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.01,NA,NA,NA,NA,NA,NA,8.1
"Acanthistius_cinctus",1,0,0,12690,"Acanthistius",NA,0,1,"Acanthistius cinctus","Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.09999990463257,NA,NA,NA,NA,NA,NA,NA
"Acanthistius_fuscus",0,0,1,59850,"Acanthistius",NA,0,1,"Acanthistius fuscus","Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.03000020980835,NA,NA,NA,NA,NA,NA,NA
"Acanthistius_joanae",0,0,1,65330,"Acanthistius",NA,0,1,"Acanthistius joanae","Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.74000000953674,NA,NA,NA,NA,NA,NA,17.9
"Acanthistius_ocellatus",1,0,0,15036,"Acanthistius",NA,0,1,"Acanthistius ocellatus","Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.07000017166138,NA,NA,-1.32137452739482,-0.68947318972194,-0.0629396748664764,-0.840765074853598,22.3
"Acanthistius_pardalotus",1,0,0,15038,"Acanthistius",NA,0,1,"Acanthistius pardalotus","Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.05000019073486,NA,NA,NA,NA,NA,NA,NA
"Acanthistius_patachonicus",0,1,0,50141,"Acanthistius",NA,0,1,"Acanthistius patachonicus","Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.01000022888184,NA,NA,NA,NA,NA,NA,NA
"Acanthistius_paxtoni",1,0,0,15040,"Acanthistius",NA,0,1,"Acanthistius paxtoni","Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.05000019073486,NA,NA,NA,NA,NA,NA,21.7
"Acanthistius_pictus",1,0,0,57960,"Acanthistius",NA,0,1,"Acanthistius pictus","Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.23,NA,NA,NA,NA,NA,NA,NA
"Acanthistius_sebastoides",0,1,0,7920,"Acanthistius",NA,0,1,"Acanthistius sebastoides","Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.98000001907349,NA,NA,NA,NA,NA,NA,22.1
"Acanthistius_serratus",1,0,0,15042,"Acanthistius",NA,0,1,"Acanthistius serratus","Anthiadidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,4.09999990463257,NA,NA,NA,NA,NA,NA,18
"Acanthocepola_abbreviata",1,0,0,10354,"Acanthocepola","Cepolinae",0,1,"Acanthocepola abbreviata","Cepolidae","Eupercaria","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,28.3
"Acanthocepola_indica",1,0,0,9216,"Acanthocepola","Cepolinae",0,1,"Acanthocepola indica","Cepolidae","Eupercaria","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.35999989509583,NA,NA,NA,NA,NA,NA,NA
"Acanthocepola_krusensternii",0,1,0,9215,"Acanthocepola","Cepolinae",1,1,"Acanthocepola krusensternii","Cepolidae","Eupercaria","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.36999988555908,NA,NA,NA,NA,NA,NA,21.5
"Acanthocepola_limbata",0,1,0,9214,"Acanthocepola","Cepolinae",0,1,"Acanthocepola limbata","Cepolidae","Eupercaria","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.40000009536743,NA,NA,NA,NA,NA,NA,24
"Acanthochaenus_luetkenii",1,0,0,9046,"Acanthochaenus",NA,0,1,"Acanthochaenus luetkenii","Stephanoberycidae","Beryciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,-0.881889305156823,3.44457099802479,NA,3.5,NA,NA,-1.49359403140902,-0.484063525065582,-0.364423575537286,-0.638230947707742,2
"Acanthochromis_polyacanthus",1,0,0,6655,"Acanthochromis","Pomacentrinae",0,1,"Acanthochromis polyacanthus","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes",NA,NA,NA,NA,0.0634963115591275,4.2610183409599,-0.953069983377452,2.69,NA,NA,-1.1073694756458,-1.63283405616587,0.176242863927823,-0.975568599884651,27.8
"Acanthoclinus_fuscus",0,1,0,12865,"Acanthoclinus","Acanthoclininae",1,1,"Acanthoclinus fuscus","Plesiopidae","Ovalentaria","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.64,NA,NA,NA,NA,NA,NA,16.3
"Acanthoclinus_littoreus",0,1,0,49224,"Acanthoclinus","Acanthoclininae",0,1,"Acanthoclinus littoreus","Plesiopidae","Ovalentaria","Teleostei","Osteichthyes",NA,NA,NA,2.19722457733622,-0.990354474236798,3.65704017105152,-0.762132909215264,3.37,2.98315349134713,NA,NA,NA,NA,NA,NA
"Acanthoclinus_marilynae",0,1,0,46323,"Acanthoclinus","Acanthoclininae",0,1,"Acanthoclinus marilynae","Plesiopidae","Ovalentaria","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.69,NA,NA,NA,NA,NA,NA,NA
"Acanthoclinus_matti",1,0,0,47430,"Acanthoclinus","Acanthoclininae",0,1,"Acanthoclinus matti","Plesiopidae","Ovalentaria","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.53999996185303,NA,NA,NA,NA,NA,NA,NA
"Acanthoclinus_rua",0,1,0,46322,"Acanthoclinus","Acanthoclininae",0,1,"Acanthoclinus rua","Plesiopidae","Ovalentaria","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.41000008583069,NA,NA,NA,NA,NA,NA,NA
"Acanthocybium_solandri",0,0,1,89,"Acanthocybium","Scombrinae",0,1,"Acanthocybium solandri","Scombridae","Scombriformes","Teleostei","Osteichthyes",NA,0.693147180559945,NA,2.12823170584927,-1.16102906230471,10.5134127139128,-0.79493630346198,4.26,NA,13.9521327940072,-1.93257940602491,-0.519197187288397,-0.467881389644761,-0.947309599960438,24.7
"Acanthodraco_dewitti",0,1,0,54894,"Acanthodraco","Gymnodraconinae",0,1,"Acanthodraco dewitti","Bathydraconidae","Perciformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.66000008583069,NA,NA,NA,NA,NA,NA,0.9
"Acanthogobius_elongatus",0,0,1,67583,"Acanthogobius","Gobionellinae",0,1,"Acanthogobius elongatus","Gobiidae","Gobiiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.38000011444092,NA,NA,NA,NA,NA,NA,NA
"Acanthogobius_insularis",0,0,1,67376,"Acanthogobius","Gobionellinae",0,1,"Acanthogobius insularis","Gobiidae","Gobiiformes","Teleostei","Osteichthyes",NA,NA,NA,NA,NA,NA,NA,3.38000011444092,NA,NA,NA,NA,NA,NA,NA
