"","habitatbenthopelagic","habitatdemersal","habitatpelagic","waterbrack","watersaltwater","c_m","tm","Lm","tmax","K","Woo","M","TLDiet","Loo","fecundity","Min_caudalpeduncle_depth","Lower_jaw_length","Max_body_depth","Max_body_width","Temperature"
"Acanthistius_pictus",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,4.23,NA,NA,NA,NA,NA,NA,NA
"Acanthistius_sebastoides",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.98000001907349,NA,NA,NA,NA,NA,NA,22.1
"Acanthistius_serratus",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,4.09999990463257,NA,NA,NA,NA,NA,NA,18
"Acanthocepola_abbreviata",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,28.3
"Acanthocepola_indica",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.35999989509583,NA,NA,NA,NA,NA,NA,NA
"Acanthocepola_krusensternii",0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,3.36999988555908,NA,NA,NA,NA,NA,NA,21.5
"Acanthocepola_limbata",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.40000009536743,NA,NA,NA,NA,NA,NA,24
"Acanthochaenus_luetkenii",1,0,0,0,1,NA,NA,NA,NA,-0.881889305156823,3.44457099802479,NA,3.5,NA,NA,-1.49359403140902,-0.484063525065582,-0.364423575537286,-0.638230947707742,2
"Acanthochromis_polyacanthus",1,0,0,0,1,NA,NA,NA,NA,0.0634963115591275,4.2610183409599,-0.953069983377452,2.69,NA,NA,-1.1073694756458,-1.63283405616587,0.176242863927823,-0.975568599884651,27.8
"Acanthoclinus_fuscus",0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,3.64,NA,NA,NA,NA,NA,NA,16.3
"Acanthoclinus_littoreus",0,1,0,0,1,NA,NA,NA,2.19722457733622,-0.990354474236798,3.65704017105152,-0.762132909215264,3.37,2.98315349134713,NA,NA,NA,NA,NA,NA
"Acanthoclinus_marilynae",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.69,NA,NA,NA,NA,NA,NA,NA
"Acanthoclinus_matti",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.53999996185303,NA,NA,NA,NA,NA,NA,NA
"Acanthoclinus_rua",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.41000008583069,NA,NA,NA,NA,NA,NA,NA
"Acanthocybium_solandri",0,0,1,0,1,NA,0.693147180559945,NA,2.12823170584927,-1.16102906230471,10.5134127139128,-0.79493630346198,4.26,NA,13.9521327940072,-1.93257940602491,-0.519197187288397,-0.467881389644761,-0.947309599960438,24.7
"Acanthodraco_dewitti",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.66000008583069,NA,NA,NA,NA,NA,NA,0.9
"Acanthogobius_elongatus",0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,3.38000011444092,NA,NA,NA,NA,NA,NA,NA
"Acanthogobius_insularis",0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,3.38000011444092,NA,NA,NA,NA,NA,NA,NA
"Acanthogobius_stigmothonus",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.38000011444092,NA,NA,NA,NA,NA,NA,NA
"Acantholabrus_palloni",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,9.9
"Acantholiparis_caecus",0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,3.26999998092651,NA,NA,NA,NA,NA,NA,2.2
"Acantholiparis_opercularis",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.30999994277954,NA,NA,NA,NA,NA,NA,1.7
"Acantholumpenus_mackayi",0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,3.13,NA,NA,-1.66232804246743,-1.2423605558676,-0.717767066839254,-1.1529310429873,0.2
"Acanthonus_armatus",0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,3.61999988555908,NA,NA,NA,NA,NA,NA,2.7
"Acanthopagrus_akazakii",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.30999994277954,NA,NA,NA,NA,NA,NA,NA
"Acanthopagrus_arabicus",0,0,1,0,1,NA,NA,3.16547504814109,2.63905732961526,-1.54646311327271,6.99942246750796,-1.18199389760716,3.17,3.84303013394119,NA,NA,NA,NA,NA,27.2
"Acanthopagrus_australis",0,1,0,1,1,NA,1.29928298413026,NA,NA,-0.673344553263766,6.1169291152171,NA,3.1,NA,14.3162858458768,-1.17729837245195,-1.06290750239706,0.0950044896651448,-0.93599798373889,24.7
"Acanthopagrus_bifasciatus",1,0,0,1,1,NA,1.22866541691631,NA,3.03134070102136,-1.56104068259611,7.79787246863075,-1.30174183796853,3.39,NA,14.0303557731303,-1.2364160139989,-1.16630544835231,0.0917513272470044,-0.909201406348425,27.6
"Acanthopagrus_catenula",1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,3.39000010490417,NA,NA,NA,NA,NA,NA,NA
"Acanthopagrus_chinshira",0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,3.3199999332428,NA,NA,-1.24173492091313,-1.18900057509037,0.0354843095074907,-0.940328344163886,24.3
"Acanthopagrus_morrisonae",0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,3.39000010490417,NA,15.2826934228175,NA,NA,NA,NA,NA
"Acanthopagrus_omanensis",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.26999998092651,NA,NA,NA,NA,NA,NA,NA
"Acanthopagrus_pacificus",0,0,1,1,1,NA,0.139761921643108,NA,NA,NA,NA,NA,3.59,NA,NA,-1.1924313827021,-1.10018255135872,0.0508860476530536,-0.863683648525584,NA
"Acanthopagrus_palmaris",1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,3.38000011444092,NA,NA,NA,NA,NA,NA,27.7
"Acanthopagrus_randalli",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.38000011444092,NA,NA,NA,NA,NA,NA,NA
"Acanthopagrus_schlegelii",0,1,0,1,1,NA,NA,NA,2.85263142991332,-1.33243768832918,8.16791936295782,-1.89711998488588,3.24000000953674,3.98341300151482,NA,NA,NA,NA,NA,23.7
"Acanthopagrus_sheim",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.36999988555908,NA,NA,NA,NA,NA,NA,NA
"Acanthopagrus_sivicolus",0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,3.38,NA,NA,NA,NA,NA,NA,NA
"Acanthopagrus_taiwanensis",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.3199999332428,NA,NA,NA,NA,NA,NA,NA
"Acanthoplesiops_cappuccino",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"Acanthoplesiops_echinatus",0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,28.5
"Acanthoplesiops_hiatti",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,28.8
"Acanthoplesiops_indicus",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.55,NA,NA,NA,NA,NA,NA,28.1
"Acanthoplesiops_jessicae",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,2.91000008583069,NA,NA,NA,NA,NA,NA,NA
"Acanthoplesiops_naka",0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,2.5699999332428,NA,NA,NA,NA,NA,NA,NA
"Acanthoplesiops_psilogaster",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.27999997138977,NA,NA,NA,NA,NA,NA,28.5
"Acanthopsetta_nadeshnyi",0,1,0,0,1,NA,1.94591014905531,NA,NA,NA,NA,NA,3.35,NA,NA,NA,NA,NA,NA,2.1
"Acanthosphex_leurynnis",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.11999988555908,NA,NA,NA,NA,NA,NA,28
"Acanthostracion_guineense",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,2.55999994277954,NA,NA,NA,NA,NA,NA,19.9
"Acanthostracion_notacanthus",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,2.35999989509583,NA,NA,NA,NA,NA,NA,26.2
"Acanthostracion_polygonium",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2.03,NA,NA,NA,NA,NA,NA,25.9
"Acanthostracion_quadricornis",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2.68,NA,11.6310284494375,-1.88944185632112,-2.05708407023182,-0.123195507836304,-0.535743763355192,25.4
"Acanthurus_achilles",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,-1.39699089596424,-2.20994804022751,0.224488535973759,-0.998091864989738,27.4
"Acanthurus_albimento",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2.16000008583069,NA,NA,NA,NA,NA,NA,NA
"Acanthurus_albipectoralis",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,26.3
"Acanthurus_auranticavus",1,0,0,0,1,NA,NA,NA,3.40119738166216,-0.391562202939173,6.48680657123547,NA,2,NA,NA,NA,NA,NA,NA,28.5
"Acanthurus_bahianus",1,0,0,0,1,NA,NA,NA,3.09104245335832,0.27421682149821,5.46052877126491,NA,2.09999990463257,NA,NA,-1.50656926935457,-2.11317718624066,0.1217941984451,-0.933437867494532,NA
"Acanthurus_bariene",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,27.5
"Acanthurus_blochii",1,0,0,0,1,NA,1.09861228866811,NA,3.55534806148941,-1.38629436111989,6.83806183000522,NA,2,NA,NA,-1.35306135173364,-1.79150679879402,0.20981821489199,-1.01192857617227,27.8
"Acanthurus_chirurgus",1,0,0,0,1,NA,NA,NA,2.56494935746154,-0.720861019127461,6.71658372624446,0.457424847038875,2.09,3.50254987592244,NA,-1.36436234209765,-1.74871261386582,0.182230329098422,-0.986229919774722,27.4
"Acanthurus_chronixis",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2.19000005722046,NA,NA,NA,NA,NA,NA,NA
"Acanthurus_coeruleus",1,0,0,0,1,NA,NA,NA,3.28341434600577,-0.772623382061742,6.51177802153233,0.398776119957368,2.15,NA,NA,-1.44173863257209,-2.01552659164927,0.278762065598513,-0.999130437605545,27.4
"Acanthurus_dussumieri",1,0,0,0,1,NA,1.09861228866811,NA,3.3322045101752,-1.21739582465808,7.38189873356389,NA,2,NA,NA,-1.32191489378717,-1.72749511257438,0.199473930591592,-1.00145031215383,27.2
"Aioliops_tetrophthalmus",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.0699999332428,NA,NA,NA,NA,NA,NA,27.8
"Akarotaxis_nudiceps",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.45000004768372,NA,5.29831736654804,-2.18698749678644,-0.469902730922855,-0.70505259606754,-0.622287196455102,-0.8
"Akko_brevis",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.3199999332428,NA,NA,NA,NA,NA,NA,NA
"Altrichthys_curatus",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2.78999996185303,NA,NA,-1.28078505998361,-1.34867861247141,0.158225190256102,-0.917161966188179,28.8
"Aluterus_heudelotii",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,-1.39239374380453,-1.85644489300594,0.218096976198965,-1.20070747182481,24.8
"Aluterus_monoceros",1,0,0,0,1,NA,NA,3.91601502669768,NA,-1.51412773262978,8.04060063559056,NA,3.84,NA,NA,-1.42226742407816,-2.10390789517173,0.110315888230103,-1.16217349861033,27.6
"Aluterus_schoepfii",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2.02,NA,NA,-1.23308802130052,-2.37704562621955,0.259134970651414,-1.342544507764,25.6
"Aluterus_scriptus",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2.81,NA,NA,-1.08386164785301,-1.97991207338871,0.0249270369418411,-1.19822392163045,27.4
"Amamiichthys_matsubarai",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.48000001907349,NA,NA,NA,NA,NA,NA,NA
"Amanses_scopas",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2.85999989509583,NA,NA,-0.885162307492658,-1.66687193303644,0.207911089038748,-0.987453441167624,28.3
"Amarsipus_carlsbergi",0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,3.75999999046326,NA,NA,NA,NA,NA,NA,26.4
"Ambophthalmos_eurystigmatephoros",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.47000002861023,NA,NA,NA,NA,NA,NA,NA
"Ambophthalmos_magnicirrus",0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,3.46000003814697,NA,NA,NA,NA,NA,NA,3.7
"Acanthurus_fowleri",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,28.1
"Acanthurus_gahhm",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2.76,NA,NA,NA,NA,NA,NA,28.6
"Acanthurus_grammoptilus",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2.08999991416931,NA,NA,NA,NA,NA,NA,27.3
"Acanthurus_guttatus",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,-1.27894266184148,-1.86437387815823,0.281125438602908,-0.924105424465372,28.2
"Acanthurus_japonicus",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2.27999997138977,NA,NA,-1.46587734550344,-1.98008752371612,0.21813466096546,-0.941897412107092,28.7
"Acanthurus_leucocheilus",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,28.5
"Acanthurus_leucopareius",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,27.1
"Acanthurus_leucosternon",1,0,0,0,1,NA,NA,NA,NA,0.262364264467491,5.05210814876109,NA,2,NA,NA,NA,NA,NA,NA,27.5
"Acanthurus_lineatus",1,0,0,0,1,NA,1.38629436111989,NA,3.73766961828337,-0.0529789247908866,5.75794154170852,NA,2,3.35689712276558,10.796407298087,-1.26652894833133,-1.51226140045299,0.142601247518323,-0.993045593161618,28.4
"Acanthurus_maculiceps",1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,28.6
"Acanthurus_mata",1,0,0,0,1,NA,NA,NA,3.13549421592915,-1.51868354916564,NA,NA,2.53,NA,NA,-1.36597099183242,-1.65413721008794,0.121981659175829,-0.888855795670069,27.9
