"","habitatbenthopelagic","habitatdemersal","habitatpelagic","SpecCode","Genus","Subfamily","waterbrack","watersaltwater","Species","Family","Order","Class","SuperClass","c_m","tm","Lm","tmax","K","Woo","M","TLDiet","Loo","fecundity","Min_caudalpeduncle_depth","Lower_jaw_length","Max_body_depth","Max_body_width","Temperature"
"Brevoortia smithi",0,0,1,1591,"Brevoortia",NA,1,1,"Brevoortia smithi","Alosidae","Clupeiformes","Teleostei","Osteichthyes",17.3758146618373,NA,NA,NA,NA,NA,NA,2.32,NA,NA,-1.30992537548182,-0.835309451535914,-0.0188226528843665,-0.936001484003824,24.4
"Brevoortia tyrannus",0,0,1,1592,"Brevoortia",NA,1,1,"Brevoortia tyrannus","Alosidae","Clupeiformes","Teleostei","Osteichthyes",17.3758146618373,0.693147180559945,NA,NA,-0.856158707424075,7.42354789590505,-0.472673857801614,3.23,3.57162680103566,12.7203921585504,-1.3550448202971,-0.704631617855257,-0.0961931373749171,-0.928306130689101,13.2
"Buglossidium luteum",0,1,0,53,"Buglossidium",NA,0,1,"Buglossidium luteum","Soleidae","Pleuronectiformes","Teleostei","Osteichthyes",20.6006204719819,0.847297860387204,2.07944154167984,2.30258509299405,-0.647233530545715,2.93779100924892,-1.12985530840804,3.31,2.54451114360762,NA,-1.30137221027539,-1.36925423560703,0.240637611150756,-1.32296607669803,10.6
"Callionymus aagilis",0,1,0,57491,"Callionymus",NA,0,1,"Callionymus aagilis","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.26999998092651,NA,NA,NA,NA,NA,NA,24.3
"Callionymus acutirostris",0,1,0,59275,"Callionymus",NA,0,1,"Callionymus acutirostris","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,25.3
"Callionymus afilum",0,1,0,60537,"Callionymus",NA,0,1,"Callionymus afilum","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,27.2
"Callionymus africanus",0,1,0,59615,"Callionymus",NA,0,1,"Callionymus africanus","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,14.8
"Callionymus altipinnis",0,1,0,59276,"Callionymus",NA,0,1,"Callionymus altipinnis","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,23.4
"Callionymus amboina",0,1,0,59289,"Callionymus",NA,0,1,"Callionymus amboina","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.09999990463257,NA,NA,NA,NA,NA,NA,NA
"Callionymus annulatus",0,1,0,60089,"Callionymus",NA,0,1,"Callionymus annulatus","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.16000008583069,NA,NA,NA,NA,NA,NA,27.5
"Callionymus australis",0,1,0,58163,"Callionymus",NA,0,1,"Callionymus australis","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.28999996185303,NA,NA,NA,NA,NA,NA,26.6
"Callionymus belcheri",0,1,0,4697,"Callionymus",NA,0,1,"Callionymus belcheri","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,-0.811930716549912,2.80849867239902,0.336472236621213,3.24000000953674,NA,NA,NA,NA,NA,NA,28.3
"Callionymus beniteguri",0,1,0,13070,"Callionymus",NA,0,1,"Callionymus beniteguri","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.32999992370605,NA,NA,NA,NA,NA,NA,19.7
"Callionymus bentuviai",0,1,0,56496,"Callionymus",NA,0,1,"Callionymus bentuviai","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.1800000667572,NA,NA,NA,NA,NA,NA,NA
"Callionymus bifilum",0,1,0,60538,"Callionymus",NA,0,1,"Callionymus bifilum","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA
"Callionymus bleekeri",0,1,0,60551,"Callionymus",NA,0,1,"Callionymus bleekeri","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA
"Callionymus brevianalis",0,1,0,50478,"Callionymus",NA,0,1,"Callionymus brevianalis","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.02999997138977,NA,NA,NA,NA,NA,NA,27.7
"Callionymus caeruleonotatus",0,1,0,58160,"Callionymus",NA,0,1,"Callionymus caeruleonotatus","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.16000008583069,NA,NA,NA,NA,NA,NA,7.8
"Callionymus carebares",0,1,0,46381,"Callionymus",NA,0,1,"Callionymus carebares","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,16.3
"Callionymus comptus",0,1,0,59477,"Callionymus",NA,0,1,"Callionymus comptus","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.07999992370605,NA,NA,NA,NA,NA,NA,NA
"Callionymus cooperi",0,1,0,25696,"Callionymus",NA,0,1,"Callionymus cooperi","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA
"Callionymus curvispinis",0,1,0,50530,"Callionymus",NA,0,1,"Callionymus curvispinis","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.14000010490417,NA,NA,NA,NA,NA,NA,NA
"Callionymus decoratus",0,1,0,58161,"Callionymus",NA,0,1,"Callionymus decoratus","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.33999991416931,NA,NA,-1.70667692931373,-1.07293641318282,-1.04737333804306,-0.269678908949131,20.3
"Callionymus doryssus",0,1,0,59457,"Callionymus",NA,0,1,"Callionymus doryssus","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.28999996185303,NA,NA,NA,NA,NA,NA,21.8
"Callionymus draconis",0,1,0,25834,"Callionymus",NA,0,1,"Callionymus draconis","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.23000001907349,NA,NA,NA,NA,NA,NA,18.3
"Callionymus erythraeus",0,1,0,46382,"Callionymus",NA,0,1,"Callionymus erythraeus","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.22000002861023,NA,NA,NA,NA,NA,NA,28.1
"Callionymus fasciatus",0,1,0,25972,"Callionymus",NA,0,1,"Callionymus fasciatus","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,15.1
"Callionymus filamentosus",0,1,0,225,"Callionymus",NA,0,1,"Callionymus filamentosus","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.27,NA,NA,-2.02478841569055,-1.35853919145446,-0.99210456073841,-0.203987021252014,24
"Callionymus fluviatilis",0,1,0,25227,"Callionymus",NA,1,1,"Callionymus fluviatilis","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,2.8199999332428,NA,NA,NA,NA,NA,NA,27.4
"Callionymus formosanus",0,1,0,24197,"Callionymus",NA,0,1,"Callionymus formosanus","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.30999994277954,NA,NA,NA,NA,NA,NA,27.8
"Callionymus futuna",0,1,0,60549,"Callionymus",NA,0,1,"Callionymus futuna","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA
"Callionymus gardineri",0,1,0,1318,"Callionymus",NA,0,1,"Callionymus gardineri","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.34999990463257,NA,NA,NA,NA,NA,NA,23.8
"Callionymus goodladi",0,1,0,10964,"Callionymus",NA,0,1,"Callionymus goodladi","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.3199999332428,NA,NA,NA,NA,NA,NA,17
"Callionymus grossi",0,1,0,10965,"Callionymus",NA,0,1,"Callionymus grossi","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.30999994277954,NA,NA,NA,NA,NA,NA,26.9
"Callionymus guentheri",0,1,0,59277,"Callionymus",NA,0,1,"Callionymus guentheri","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,14.8
"Callionymus hainanensis",0,1,0,59278,"Callionymus",NA,0,1,"Callionymus hainanensis","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.21000003814697,NA,NA,NA,NA,NA,NA,26.7
"Callionymus hildae",0,1,0,59279,"Callionymus",NA,0,1,"Callionymus hildae","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,28.6
"Callionymus hindsii",0,1,0,46386,"Callionymus",NA,0,1,"Callionymus hindsii","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.20000004768372,NA,NA,NA,NA,NA,NA,28.4
"Callionymus ikedai",0,1,0,50460,"Callionymus",NA,1,1,"Callionymus ikedai","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.03999996185303,NA,NA,NA,NA,NA,NA,23.3
"Callionymus io",0,1,0,56778,"Callionymus",NA,0,1,"Callionymus io","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.05999994277954,NA,NA,NA,NA,NA,NA,NA
"Callionymus izuensis",0,1,0,50535,"Callionymus",NA,0,1,"Callionymus izuensis","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.23000001907349,NA,NA,NA,NA,NA,NA,NA
"Callionymus japonicus",0,1,0,10362,"Callionymus",NA,0,1,"Callionymus japonicus","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.41,NA,NA,NA,NA,NA,NA,27
"Callionymus kailolae",0,1,0,60539,"Callionymus",NA,0,1,"Callionymus kailolae","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA
"Callionymus kanakorum",0,1,0,64200,"Callionymus",NA,0,1,"Callionymus kanakorum","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.19000005722046,NA,NA,NA,NA,NA,NA,17.2
"Callionymus keeleyi",0,1,0,27544,"Callionymus",NA,0,1,"Callionymus keeleyi","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,27.5
"Callionymus koreanus",0,1,0,47400,"Callionymus",NA,0,1,"Callionymus koreanus","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA
"Callionymus kotthausi",0,1,0,59290,"Callionymus",NA,0,1,"Callionymus kotthausi","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,17.1
"Callionymus leucobranchialis",0,1,0,59280,"Callionymus",NA,0,1,"Callionymus leucobranchialis","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA
"Callionymus leucopoecilus",0,1,0,50527,"Callionymus",NA,0,1,"Callionymus leucopoecilus","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.22000002861023,NA,NA,NA,NA,NA,NA,10.3
"Callionymus limiceps",0,1,0,11872,"Callionymus",NA,1,1,"Callionymus limiceps","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.33999991416931,NA,NA,NA,NA,NA,NA,27.4
"Callionymus lunatus",0,1,0,25832,"Callionymus",NA,0,1,"Callionymus lunatus","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.29999995231628,NA,NA,NA,NA,NA,NA,NA
"Callionymus luridus",0,1,0,59281,"Callionymus",NA,0,1,"Callionymus luridus","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA
"Callionymus lyra",0,1,0,23,"Callionymus",NA,0,1,"Callionymus lyra","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,1.6094379124341,-0.713349887877465,3.96081316959758,-0.0943106794712414,3.27,3.05635689537043,NA,-1.85310382504359,-1.00494725814981,-0.973604213166797,-0.203329627601666,13.3
"Callionymus macclesfieldensis",0,1,0,56774,"Callionymus",NA,0,1,"Callionymus macclesfieldensis","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.15000009536743,NA,NA,NA,NA,NA,NA,NA
"Callionymus macdonaldi",0,1,0,59292,"Callionymus",NA,0,1,"Callionymus macdonaldi","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.21000003814697,NA,NA,NA,NA,NA,NA,27.6
"Callionymus maculatus",0,1,0,1807,"Callionymus",NA,0,1,"Callionymus maculatus","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.31,NA,NA,-1.99418200988256,-1.03718494630718,-1.00544909453186,-0.206484202202413,8.6
"Callionymus margaretae",0,1,0,46464,"Callionymus",NA,0,1,"Callionymus margaretae","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.27999997138977,NA,NA,NA,NA,NA,NA,25.4
"Callionymus marleyi",0,1,0,7650,"Callionymus",NA,0,1,"Callionymus marleyi","Callionymidae","Callionymiformes","Teleostei","Osteichthyes",26.8081837691352,NA,NA,NA,NA,NA,NA,3.33,NA,NA,NA,NA,NA,NA,27.3
