"","habitatbenthopelagic","habitatdemersal","habitatpelagic","waterbrack","watersaltwater","c_m","tm","Lm","tmax","K","Woo","M","TLDiet","Loo","fecundity","Min_caudalpeduncle_depth","Lower_jaw_length","Max_body_depth","Max_body_width","Temperature"
"Arnoglossus waitei",0,1,0,0,1,14.9374990286592,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,27.2
"Arnoglossus yamanakai",0,1,0,0,1,14.9374990286592,NA,NA,NA,NA,NA,NA,3.55999994277954,NA,NA,NA,NA,NA,NA,27.2
"Artediellus aporosus",0,1,0,0,1,20.8962045296032,NA,NA,NA,NA,NA,NA,3.38000011444092,NA,NA,NA,NA,NA,NA,NA
"Artediellus atlanticus",0,1,0,0,1,20.8962045296032,NA,NA,NA,NA,NA,NA,3.57,NA,4.75071249127875,NA,NA,NA,NA,3
"Artediellus camchaticus",0,1,0,0,1,20.8962045296032,NA,NA,NA,-1.86433016206289,4.34749645873122,NA,3.19,2.96269241947579,5.53602106919358,NA,NA,NA,NA,1.9
"Artediellus dydymovi",0,1,0,0,1,20.8962045296032,NA,NA,NA,NA,NA,NA,3.34999990463257,NA,NA,NA,NA,NA,NA,5.2
"Artediellus fuscimentus",0,1,0,0,1,20.8962045296032,NA,NA,NA,NA,NA,NA,3.32999992370605,NA,NA,-1.72857602512282,-0.692566809842893,-0.680807289435986,-0.288012034068874,6.2
"Artediellus gomojunovi",0,1,0,0,1,20.8962045296032,NA,NA,NA,NA,NA,NA,3.38000011444092,NA,NA,NA,NA,NA,NA,1
"Artediellus ingens",0,1,0,0,1,20.8962045296032,NA,NA,NA,NA,NA,NA,3.38000011444092,NA,NA,NA,NA,NA,NA,2.1
"Artediellus miacanthus",0,1,0,0,1,20.8962045296032,NA,NA,NA,NA,NA,NA,3.38000011444092,NA,NA,NA,NA,NA,NA,1.1
"Artediellus minor",0,1,0,0,1,20.8962045296032,NA,NA,NA,NA,NA,NA,3.23000001907349,NA,NA,NA,NA,NA,NA,NA
"Artediellus neyelovi",0,1,0,0,1,20.8962045296032,NA,NA,NA,NA,NA,NA,3.4300000667572,NA,NA,NA,NA,NA,NA,14.2
"Artediellus ochotensis",0,1,0,0,1,20.8962045296032,NA,NA,NA,NA,NA,NA,3.38000011444092,NA,NA,NA,NA,NA,NA,NA
"Artediellus pacificus",0,1,0,0,1,20.8962045296032,NA,NA,NA,NA,NA,NA,3.25999999046326,NA,NA,NA,NA,NA,NA,2.1
"Artediellus scaber",0,1,0,1,1,20.8962045296032,NA,NA,NA,NA,NA,NA,3.35,NA,4.31748811353631,NA,NA,NA,NA,-1
"Artediellus schmidti",0,1,0,0,1,20.8962045296032,NA,NA,NA,NA,NA,NA,3.38000011444092,NA,NA,NA,NA,NA,NA,NA
"Artediellus uncinatus",0,1,0,0,1,20.8962045296032,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,2.4
"Boreogadus saida",0,1,0,1,1,16.6944193961232,1.09861228866811,NA,1.94591014905531,-1.16056952879526,5.0567276000946,-0.584292775647863,3.12,3.20071185424053,10.344378302829,-2.26448467170771,-0.638461641515087,-0.489849497000235,-0.775258659248531,0.2
"Brevoortia aurea",0,0,1,0,1,17.8909213327777,NA,NA,NA,NA,NA,NA,2.75,NA,NA,-1.15804784913851,-0.788047006724863,0.0892515155419977,-1.12956686139971,16.8
"Brevoortia gunteri",0,0,1,1,1,17.8909213327777,NA,NA,NA,NA,NA,NA,2.43,NA,NA,NA,NA,NA,NA,24.4
"Brevoortia patronus",0,0,1,0,1,17.8909213327777,0,NA,NA,-0.907612282572771,5.63121178182137,0.0953101798043249,2.19,NA,10.9281841582541,-1.38078080814393,-0.720196852305296,0.0364585976272841,-1.03748477000183,24.3
"Brevoortia pectinata",0,0,1,1,1,17.8909213327777,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,16.4
"Brevoortia smithi",0,0,1,1,1,17.8909213327777,NA,NA,NA,NA,NA,NA,2.32,NA,NA,-1.30992537548182,-0.835309451535914,-0.0188226528843665,-0.936001484003824,24.4
"Brevoortia tyrannus",0,0,1,1,1,17.8909213327777,0.693147180559945,NA,NA,-0.856158707424075,7.42354789590505,-0.472673857801614,3.23,3.57162680103566,12.7203921585504,-1.3550448202971,-0.704631617855257,-0.0961931373749171,-0.928306130689101,13.2
"Buglossidium luteum",0,1,0,0,1,20.9169085828229,0.847297860387204,2.07944154167984,2.30258509299405,-0.647233530545715,2.93779100924892,-1.12985530840804,3.31,2.54451114360762,NA,-1.30137221027539,-1.36925423560703,0.240637611150756,-1.32296607669803,10.6
"Callionymus aagilis",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.26999998092651,NA,NA,NA,NA,NA,NA,24.3
"Callionymus acutirostris",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,25.3
"Callionymus afilum",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,27.2
"Callionymus africanus",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,14.8
"Callionymus altipinnis",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,23.4
"Callionymus amboina",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.09999990463257,NA,NA,NA,NA,NA,NA,NA
"Callionymus annulatus",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.16000008583069,NA,NA,NA,NA,NA,NA,27.5
"Callionymus australis",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.28999996185303,NA,NA,NA,NA,NA,NA,26.6
"Callionymus belcheri",0,1,0,0,1,25.2170195051617,NA,NA,NA,-0.811930716549912,2.80849867239902,0.336472236621213,3.24000000953674,NA,NA,NA,NA,NA,NA,28.3
"Callionymus beniteguri",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.32999992370605,NA,NA,NA,NA,NA,NA,19.7
"Callionymus bentuviai",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.1800000667572,NA,NA,NA,NA,NA,NA,NA
"Callionymus bifilum",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA
"Callionymus bleekeri",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA
"Callionymus brevianalis",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.02999997138977,NA,NA,NA,NA,NA,NA,27.7
"Callionymus caeruleonotatus",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.16000008583069,NA,NA,NA,NA,NA,NA,7.8
"Callionymus carebares",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,16.3
"Callionymus comptus",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.07999992370605,NA,NA,NA,NA,NA,NA,NA
"Callionymus cooperi",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA
"Callionymus curvispinis",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.14000010490417,NA,NA,NA,NA,NA,NA,NA
"Callionymus decoratus",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.33999991416931,NA,NA,-1.70667692931373,-1.07293641318282,-1.04737333804306,-0.269678908949131,20.3
"Callionymus doryssus",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.28999996185303,NA,NA,NA,NA,NA,NA,21.8
"Callionymus draconis",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.23000001907349,NA,NA,NA,NA,NA,NA,18.3
"Callionymus erythraeus",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.22000002861023,NA,NA,NA,NA,NA,NA,28.1
"Callionymus fasciatus",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,15.1
"Callionymus filamentosus",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.27,NA,NA,-2.02478841569055,-1.35853919145446,-0.99210456073841,-0.203987021252014,24
"Callionymus fluviatilis",0,1,0,1,1,25.2170195051617,NA,NA,NA,NA,NA,NA,2.8199999332428,NA,NA,NA,NA,NA,NA,27.4
"Callionymus formosanus",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.30999994277954,NA,NA,NA,NA,NA,NA,27.8
"Callionymus futuna",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA
"Callionymus gardineri",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.34999990463257,NA,NA,NA,NA,NA,NA,23.8
"Callionymus goodladi",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.3199999332428,NA,NA,NA,NA,NA,NA,17
"Callionymus grossi",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.30999994277954,NA,NA,NA,NA,NA,NA,26.9
"Callionymus guentheri",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,14.8
"Callionymus hainanensis",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.21000003814697,NA,NA,NA,NA,NA,NA,26.7
"Callionymus hildae",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,28.6
"Callionymus hindsii",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.20000004768372,NA,NA,NA,NA,NA,NA,28.4
"Callionymus ikedai",0,1,0,1,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.03999996185303,NA,NA,NA,NA,NA,NA,23.3
"Callionymus io",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.05999994277954,NA,NA,NA,NA,NA,NA,NA
"Callionymus izuensis",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.23000001907349,NA,NA,NA,NA,NA,NA,NA
"Callionymus japonicus",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.41,NA,NA,NA,NA,NA,NA,27
"Callionymus kailolae",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA
"Callionymus kanakorum",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.19000005722046,NA,NA,NA,NA,NA,NA,17.2
"Callionymus keeleyi",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,27.5
"Callionymus koreanus",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA
"Callionymus kotthausi",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,17.1
"Callionymus leucobranchialis",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA
"Callionymus leucopoecilus",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.22000002861023,NA,NA,NA,NA,NA,NA,10.3
"Callionymus limiceps",0,1,0,1,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.33999991416931,NA,NA,NA,NA,NA,NA,27.4
"Callionymus lunatus",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.29999995231628,NA,NA,NA,NA,NA,NA,NA
"Callionymus luridus",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA
"Callionymus lyra",0,1,0,0,1,25.2170195051617,NA,NA,1.6094379124341,-0.713349887877465,3.96081316959758,-0.0943106794712414,3.27,3.05635689537043,NA,-1.85310382504359,-1.00494725814981,-0.973604213166797,-0.203329627601666,13.3
"Callionymus macclesfieldensis",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.15000009536743,NA,NA,NA,NA,NA,NA,NA
"Callionymus macdonaldi",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.21000003814697,NA,NA,NA,NA,NA,NA,27.6
"Callionymus maculatus",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.31,NA,NA,-1.99418200988256,-1.03718494630718,-1.00544909453186,-0.206484202202413,8.6
"Callionymus margaretae",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.27999997138977,NA,NA,NA,NA,NA,NA,25.4
"Callionymus marleyi",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.33,NA,NA,NA,NA,NA,NA,27.3
"Callionymus marquesensis",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.02999997138977,NA,NA,NA,NA,NA,NA,28
"Callionymus martinae",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA
"Callionymus mascarenus",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.15000009536743,NA,NA,NA,NA,NA,NA,NA
"Callionymus megastomus",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA
"Callionymus melanotopterus",0,1,0,1,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA
"Callionymus meridionalis",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,28
"Callionymus moretonensis",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.24000000953674,NA,NA,NA,NA,NA,NA,22.2
"Callionymus mortenseni",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA
"Callionymus muscatensis",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.1800000667572,NA,NA,NA,NA,NA,NA,NA
"Callionymus neptunius",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,28.6
"Callionymus obscurus",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA
"Callionymus ochiaii",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,17.9
"Callionymus octostigmatus",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.31,NA,NA,NA,NA,NA,NA,26
"Callionymus ogilbyi",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,18.2
"Callionymus omanensis",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25999999046326,NA,NA,NA,NA,NA,NA,NA
"Callionymus oxycephalus",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA
"Callionymus persicus",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.33999991416931,NA,NA,NA,NA,NA,NA,25.7
"Callionymus planus",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.24000000953674,NA,NA,NA,NA,NA,NA,25.3
"Callionymus platycephalus",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.22000002861023,NA,NA,NA,NA,NA,NA,NA
"Callionymus pleurostictus",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.04999995231628,NA,NA,NA,NA,NA,NA,28.2
"Callionymus profundus",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.1800000667572,NA,NA,NA,NA,NA,NA,NA
"Callionymus pusillus",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.29,NA,NA,NA,NA,NA,NA,17.1
"Callionymus regani",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,25.9
"Callionymus reticulatus",0,1,0,1,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.28,NA,NA,NA,NA,NA,NA,10.5
"Callionymus risso",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.03,NA,NA,NA,NA,NA,NA,14.8
"Callionymus rivatoni",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA
"Callionymus russelli",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,28.4
"Callionymus sagitta",0,1,0,1,1,25.2170195051617,NA,NA,NA,NA,NA,NA,2.86999988555908,NA,NA,NA,NA,NA,NA,28.3
"Callionymus scaber",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA
"Callionymus scabriceps",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.21000003814697,NA,NA,NA,NA,NA,NA,28.7
"Callionymus schaapii",0,1,0,1,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.16000008583069,NA,NA,-1.70635528328419,-0.755612023563844,-1.10225236027294,-0.125929740692822,28.8
"Callionymus semeiophor",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25999999046326,NA,NA,NA,NA,NA,NA,NA
"Callionymus sereti",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA
"Callionymus sokonumeri",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.28999996185303,NA,NA,NA,NA,NA,NA,NA
"Callionymus sphinx",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.15000009536743,NA,NA,NA,NA,NA,NA,NA
"Callionymus stigmatopareius",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA
"Callionymus sublaevis",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25999999046326,NA,NA,NA,NA,NA,NA,27.6
"Callionymus superbus",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.35999989509583,NA,NA,NA,NA,NA,NA,28.8
"Callionymus tenuis",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.00999999046326,NA,NA,NA,NA,NA,NA,NA
"Callionymus tethys",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,26.2
"Callionymus umbrithorax",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,28.8
"Callionymus valenciennei",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.3199999332428,NA,NA,-1.74764112466273,-1.60372560648541,-1.0393349183796,-0.237030637967982,24.3
"Callionymus whiteheadi",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.25,NA,NA,NA,NA,NA,NA,18.8
"Callionymus zythros",0,1,0,0,1,25.2170195051617,NA,NA,NA,NA,NA,NA,3.21000003814697,NA,NA,NA,NA,NA,NA,28.8
"Chaenocephalus aceratus",0,1,0,0,1,14.203906587587,2.2512917986065,NA,2.74727091425549,-1.80767981377433,7.90149017539297,-1.39812405687347,3.4,4.23234511990108,9.35594607583348,-2.00670591602735,-0.0316480706016702,-0.521448318900276,-0.76502285483676,0.1
"Channa brunnea",1,0,0,0,1,8.37284843841171,NA,NA,NA,NA,NA,NA,3.55999994277954,NA,NA,NA,NA,NA,NA,NA
"Chelon bandialensis",0,1,0,1,1,12.7398497103288,NA,NA,NA,NA,NA,NA,2.60999989509583,NA,NA,NA,NA,NA,NA,NA
"Chelon bispinosus",0,1,0,0,1,12.7398497103288,NA,NA,NA,NA,NA,NA,2.75,NA,NA,NA,NA,NA,NA,NA
"Chelon caeruleus",0,1,0,0,1,12.7398497103288,NA,NA,NA,NA,NA,NA,2.58999991416931,NA,NA,NA,NA,NA,NA,NA
"Chromis abyssicola",1,0,0,0,1,16.152310446901,NA,NA,NA,NA,NA,NA,3.03999996185303,NA,NA,NA,NA,NA,NA,19.2
"Chromis abyssus",1,0,0,0,1,16.152310446901,NA,NA,NA,NA,NA,NA,3.02999997138977,NA,NA,NA,NA,NA,NA,15.9
"Chromis albicauda",1,0,0,0,1,16.152310446901,NA,NA,NA,NA,NA,NA,3.03999996185303,NA,NA,NA,NA,NA,NA,NA
"Chromis albomaculata",1,0,0,0,1,16.152310446901,NA,NA,NA,NA,NA,NA,2.97,NA,NA,NA,NA,NA,NA,22.4
"Chromis alpha",1,0,0,0,1,16.152310446901,NA,NA,NA,NA,NA,NA,3.02999997138977,NA,NA,-1.12584052869058,-1.59803100899347,0.137568572304416,-0.852618760505397,27.8
"Chromis alta",1,0,0,0,1,16.152310446901,NA,NA,NA,NA,NA,NA,3.4,NA,NA,-1.08983952943161,-1.59422136699665,0.141692991387866,-0.910270103549421,17.2
