# id: GB/NERC/BAS/PDC/02058
# title: A compilation of metabolic rate, body mass and body temperature (where available) data for a range of vertebrate and invertebrate species
# summary: Data on the resting metabolic rate, body mass and body temperature data for a range of vertebrate and invertebrate taxa culled from the literature for a comprehensive study of scaling relationships.
# : The data are global in extent.
# : Funding acknowledgement: 
# : BAS Core Funding
# keywords: mass,metabolic rate,scaling,temperature
# citation: Clarke, A., & Johnston, N.M. (2025). A compilation of metabolic rate, body mass and body temperature (where available) data for a range of vertebrate and invertebrate species (Version 1.0) [Data set]. NERC EDS UK Polar Data Centre. https://doi.org/10.5285/8d9ffd4a-16c0-4d48-9fc9-02988676ef78
# license: http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
# history: Data for mammals, birds, reptiles, echinoderms, cephalopods and cnidarians were from previous compilations available in the published scientific literature.  Data for fish were compiled from published studies, validated and collated.
# comment: With the exception of the data for teleost fish, data were extracted from the literature, relying on quality control by the original compiler.  The fish data were edited to exclude data where fish were active, or where the range of body mass was too small for scaling parameters to be determined with precision.
# : The data have not been processed other than converting original units to SI where appropriate. For publication the data were analysed using Minitab (version 16) and R (version 4.4.2).
# institution: British Antarctic Survey
# authors: Andrew Clarke,Nadine M. Johnston
# publisher_name: NERC EDS UK Polar Data Centre
# publisher_type: institution
# publisher_email: pdc@bas.ac.uk
# publisher_url: https://www.bas.ac.uk/data/uk-pdc/
# missing values: blank cell
Type,Authors,Date,Journal,Title,Volume,Issue,Pages,doi,Book title,Editor,Place of publication,Publisher
Journal Article,J. I. Arroyo; B. D ez; C. P. Kempes; G. B. West; P. A. Marquet,2022,Proceedings of the National Academy of Sciences of the United States of America,A general theory for temperature dependence in biology,119,30,article e2119872119,10.1073/pnas.2119872119,,,,
Journal Article,S. K. Auer; S. S. Killen; E. L. Rezende,2017,Functional Ecology,"Resting vs. active: a meta-analysis of the intra- and inter-specific associations between minimum, sustained, and maximum metabolic rates in vertebrates",31,9,1728-1738,10.1111/1365-2435.12879,,,,
Journal Article,S. K. Auer; J. R. Solowey; S. Rajesh; E. L. Rezende,2020,Biology Letters,Energetic mechanisms for coping with changes in resource availability,16,11,article 20200580,10.1098/rsbl.2020.0580,,,,
Journal Article,J. Baker; A. Meade; M. Pagel; C. Venditti,2015,Proceedings of the National Academy of Sciences of the United States of America,Adaptive evolution toward larger size in mammals,112,16,5093-5098,10.1073/pnas.1419823112,,,,
Journal Article,F. J. Ballesteros; V. J. Martinez; B. Luque; L. Lacasa; E. Valor; A. Moya,2018,Scientific Reports,On the thermodynamic origin of metabolic scaling,8,,article 1448,10.1038/s41598-018-19853-6,,,,
Journal Article,J. R. Banavar; J. Damuth; A. Maritan; A. Rinaldo,2002,Proceedings of the National Academy of Sciences of the United States of America,Supply-demand balance and metabolic scaling,99,16,10506-10509,10.1073/pnas.162216899,,,,
Journal Article,J. R. Banavar; M. E. Moses; J. H. Brown; J. Damuth; A. Rinaldo; R. M. Sibly; A. Maritan,2010,Proceedings of the National Academy of Sciences of the United States of America,A general basis for quarter-power scaling in animals,107,36,15816-15820,10.1073/pnas.1009974107,,,,
Journal Article,D. R. Barneche; C. R. White; D. J. Marshall,2017,Ecology,Temperature effects on mass-scaling exponents in colonial animals: a manipulative test,98,1,103-111,10.1002/ecy.1624,,,,
Journal Article,D. K. A. Barnes; L. S. Peck,2005,Marine Biology,Extremes of metabolic strategy in Antarctic Bryozoa,147,4,979-988,10.1007/s00227-005-1628-3,,,,
Journal Article,H. Bartels,1982,Experimental Biology and Medicine. Monographs on Interdisciplinary Topics,Metabolic rate of mammals equals the 0.75 power of their body weight,7,,01-Nov,,,,,
Journal Article,S. Bauer; M. Klaassen,2013,Journal of Animal Ecology,"Mechanistic models of animal migration behaviour   their diversity, structure and use",82,3,498-508,0.1111/1365-2656.12054,,,,
Journal Article,G. Beaugrand; P. C. Reid; F. Iba ez; J. A. Lindley; M. Edwards,2002,Science,Reorganisation of North Atlantic marine copepod biodiversity and climate,296,5573,1692-1694,10.1126/science.1071329,,,,
Journal Article,F. G. Benedict,1915,Journal of Biological Chemistry,Factors affecting basal metabolism,20,3,263-299,10.1016/S0021-9258(18)88244-8,,,,
Book,F. G. Benedict,1938,,,,,215,,Vital energetics: a study in comparative basal metabolism,,"Washington, D.C.",Carnegie Institute of Washington
Journal Article,C. J. Bernacchi; E. L. Singsaas; C. Pimentel; A. R. Portis; S. P. Long,2001,"Plant, Cell and Environment",Improved temperature response functions for models of Rubisco-limited photosynthesis,24,2,253-259,10.1111/j.1365-3040.2001.00668.x,,,,
Journal Article,E. Berti; B. Rosenbaum; F. Vollrath,In press,Journal of Animal Ecology,Energy landscapes direct the movement preferences of elephants,,,,10.1111/1365-2656.70023,,,,
Journal Article,C. M. Bishop,1999,"Proceedings of the Zoological Society of London, Series B",The maximum oxygen consumption and aerobic scope of birds and mammals: getting to the heart of the matter,266,1453,2275-2281,10.1098/rspb.1999.0919,,,,
Book,K. L. Blaxter,1989,,,,,336,,Energy metabolism in animals and man,,Cambridge,Cambridge University Press
Journal Article,Z. Boraty?ski,2019,Functional Ecology,Energetic constraints on mammalian home-range size,34,2,468-474,10.1111/1365-2435.13480,,,,
Book,S. Brody,1945,,,,,1023,,"Bioenergetics and growth, with special reference to the efficiency complex in domestic animals",,New York,Reinhold Publishing Corporation
Journal Article,J. C. Brookes,2017,"Proceedings of the Royal Society of London, Series A","Quantum effects in biology: golden rule in enzymes, olfaction, photosynthesis and magnetodetection",473,2201,article 20160822,10.1098/rspa.2016.0822,,,,
Journal Article,U. Brose; R. J. Williams; N. D. Martinez,2006,Ecology Letters,Allometric scaling enhances stability in complex food webs,9,11,1228-1236,10.1111/j.1461-0248.2006.00978.x,,,,
Journal Article,J. H. Brown; J. F. Gillooly; A. P. Allen; V. M. Savage; G. B. West,2004,Ecology,Toward a metabolic theory of ecology,85,7,1771-1789,10.1890/03-9000,,,,
Journal Article,J. H. Brown; R. C. Lasiewski,1972,Ecology,Metabolism of weasels: the cost of being long and thin,53,5,939-943,10.2307/1934312,,,,
Journal Article,J. H. Brown; R. M. Sibly,2006,Proceedings of the National Academy of Sciences of the United States of America,Life-history evolution under a production constraint,103,47,17595-17599,10.1073/pnas.0608522103,,,,
Journal Article,M. F. Brown; T. P. Gratton; J. A. Stuart,2007,American Journal of Physiology - Regulatory Integrative and Comparative Physiology,Metabolic rate does not scale with body mass in cultured mammalian cells,292,6,R2115-R2121,10.1152/ajpregu.00568.2006,,,,
Journal Article,J. F. Bruno; L. A. Carr; M. I. O'Connor,2015,Ecology,Exploring the role of temperature in the ocean through metabolic scaling,96,12,3126-3140,10.1890/14-1954.1,,,,
Journal Article,D. K. Cairns; A. J. Gaston; F. Huettmann,2008,Marine Ecology Progress Series,"Endothermy, ectothermy and the global structure of marine vertebrate communities",356,,239-250,10.3354/meps07286,,,,
Journal Article,C. Carbone; G. Cowlishaw; N. J. B. Isaac; J. M. Rowcliffe,2005,American Naturalist,How far do animals go? Determinants of day range in mammals,165,2,290-297,10.1086/426790,,,,
Journal Article,J. C. Carey; J. Tang; P. H. Templar; K. D. Kroeger; T. W. Crowther; A. J. Burton; J. S. Dukes; B. Emmett; S. D. Frey; M. A. Heskel; J. Lifen; M. B. Machmuller; J. Mohan; A. M. Panetta; P. B. Reich; S. Reinsch; X. Wang; S. D. Allison; C. Bamminger; S. Bridgham; S. L. Collins; G. de Dato; W. C. Eddy; B. J. Enquist; M. Estiarte; J. Harte; A. Henderson; B. R. Johnson; K. S. Larsen; Y. Luo; S. Marhan; J. M. Melillo; J. Pe uelas; L. Pfeifer-Master; C. Poll; E. Rastetter; A. B. Reinmann; L. L. Reynolds; I. K. Schmidt; G. R. Shaver; A. L. Strong; V. Suseela; A. Tietema,2016,Proceedings of the National Academy of Sciences of the United States of America,Temperature response of soil respiration largely unaltered with experimental warming,113,48,13797 13802,10.1073/pnas.1605365113,,,,
Journal Article,N. Carey; J. D. Sigwart; J. G. Richards,2013,Journal of Experimental Marine Biology and Ecology,"Economies of scaling:  more evidence that allometry of metabolism is linked to activity, metabolic rate and habitat",439,1,Jul-14,10.1016/j.jembe.2012.10.013,,,,
Journal Article,T. J. Case,1978,Quarterly Review of Biology,Evolution and adaptive significance of postnatal growth rates in terrestrial vertebrates,53,3,243-282,10.1086/410622,,,,
Journal Article,E. L. Cavan; P. W. Boyd,2018,Aquatic Microbial Ecology,Effect of anthropogenic warming on microbial respiration and particulate organic carbon export rates in the sub-Antarctic Southern Ocean,82,2,111-127,10.3354/ame01889,,,,
Journal Article,G. Chapelle; L. S. Peck,1999,Nature,Polar gigantism dictated by oxygen availability,399,6732,114-115,10.1038/20099,,,,
Journal Article,E. L. Charnov; J. F. Gillooly,2004,Integrative and Comparative Biology,Size and temperature in the evolution of fish life histories,44,6,494-497,10.1093/icb/44.6.494,,,,
Journal Article,S. L. Chown; E. Marais; J. S. Terblanche; C. J. Klok; J. R. B. Lighton; T. M. Blackburn,2007,Functional Ecology,Scaling of insect metabolic rate is inconsistent with the nutrient supply network model,21,2,282-290,10.1111/j.1365-2435.2007.01245.x ,,,,
Journal Article,A. Clarke,2004,Functional Ecology,Is there a Universal Temperature Dependence of metabolism?,18,2,252-256,10.1111/j.0269-8463.2004.00842.x,,,,
Journal Article,A. Clarke,2008,Marine Ecology Progress Series,Ecological stoichiometry in six species of Antarctic marine benthos,369,,25-37,10.3354/meps07670,,,,
Book Section,A. Clarke,2009,,Temperature and marine macroecology,,,250-278,,Marine macroecology,J. D. Witman; K. Roy,Chicago,University of Chicago Press
Journal Article,A. Clarke,2013,American Naturalist,Dinosaur energetics: setting the bounds on feasible physiologies and ecologies,182,3,283-297,10.1086/671259,,,,
Book,A. Clarke,2017,,,,,464,,"Principles of thermal ecology: temperature, energy and life",,Oxford,Oxford University Press
Journal Article,A. Clarke,2019,Trends in Ecology & Evolution,Energy flow in growth and production,34,6,502-509,10.1016/j.tree.2019.02.003,,,,
Journal Article,A. Clarke; K. P. P. Fraser,2004,Functional Ecology,Why does metabolism scale with temperature?,18,2,243-251,10.1111/j.0269-8463.2004.00841.x,,,,
Journal Article,A. Clarke; L. J. Holmes; D. J. Gore,1992,Journal of Experimental Marine Biology and Ecology,Proximate and elemental composition of gelatinous zooplankton from the Southern Ocean,155,1,55-68,10.1016/0022-0981(92)90027-8,,,,
Journal Article,A. Clarke; N. M. Johnston,1999,Journal of Animal Ecology,Scaling of metabolic rate with body mass and temperature in teleost fish,68,5,893-905,10.1046/j.1365-2656.1999.00337.x,,,,
Journal Article,A. Clarke; L. S. Peck,1991,Polar Research,The physiology of polar marine zooplankton,10,2,355-369,10.1111/j.1751-8369.1991.tb00659.x,,,,
Journal Article,A. Clarke; H. O. P rtner,2010,Biological Reviews,"Temperature, metabolic power and the evolution of endothermy",85,4,703-727,10.1111/j.1469-185X.2010.00122.x,,,,
Journal Article,A. Clarke; E. Prothero-Thomas,1997,Physiological Zoology,The influence of feeding on oxygen consumption and nitrogen excretion in the Antarctic nemertean Parborlasia corrugatus,70,6,639-649,10.1086/515868,,,,
Journal Article,A. Clarke; P. Rothery,2008,Functional Ecology,Scaling of body temperature in birds and mammals,22,1,58-67,10.1111/j.1365-2435.2007.01341.x,,,,
Journal Article,A. Clarke; P. Rothery; N. J. B. Isaac,2010,Journal of Animal Ecology,Scaling of basal metabolic rate with body mass and temperature in mammals,79,3,610-619,10.1111/j.1365-2656.2010.01672.x,,,,
Journal Article,R. A. Coulson,1983,Perspectives in biology and medicine,Relationship between fluid flow and O2 demand in tissues in vivo and in vitro ,27,1,121-126,10.1353/pbm.1983.0038,,,,
Journal Article,R. A. Coulson,1986,"Comparative Biochemistry and Physiology, Part A",Metabolic rate and the flow theory: a study in chemical engineering,84,2,217-229,10.1016/0300-9629(86)90607-9,,,,
Journal Article,R. A. Coulson; T. Hernandez; J. D. Herbert,1977,"Comparative Biochemistry and Physiology, Part A","Metabolic rate, enzyme kinetics in vivo",56,3,251-262,10.1016/0300-9629(77)90232-8,,,,
Book Section,P. E. Coyer; C. P. Mangum,1973,,Effect of temperature on active and resting metabolism in polychaetes,,,173-180,,Effects of temperature on ectothermic organisms,W. Wieser,Heidelberg,Springer-Verlag
Book,J. A. Coyne; H. A. Orr,2004,,,,,545,,Speciation,,"Sunderland, MA",Sinauer
Journal Article,D. A. Crossley; W. W. Burggren; C. L. Reiber; J. Altimiras; K. J. Rodnick,2017,Comprehensive Physiology,Mass transport:  circulatory system with emphasis on nonendothermic species,7,1,17-66,10.1002/cphy.c150010,,,,
Journal Article,S. J. Culver; M. A. Buzas,2000,"Deep-Sea Research, Part I: Oceanographic Research Papers",Global latitudinal species diversity gradient in deep-sea benthic foraminifera,47,2,259-275,10.1016/S0967-0637(99)00055-2,,,,
Journal Article,S. Daan; D. Masman; A. Groenewold,1990,American Journal of Physiology,Avian basal metabolic rates: their association with body composition and energy expenditure in nature,259,2,R333-R340,10.1152/ajpregu.1990.259.2.R333,,,,
Journal Article,R. P. Dales,1961,Physiological Zoology,"Oxygen uptake and irrigation of the burrow by three terebellid polychaetes: Eupolymnia, Thelepus, and Neoamphitrite",34,4,306-311,10.1086/physzool.34.4.30161209,,,,
Journal Article,R. P. Dales,1961,Biological Bulletin,Observations on the respiration of the sabellid plychaete Schizobranchia insignis,121,1,82-91,10.2307/1539461,,,,
Journal Article,J. J. Daly; H. M. Matthews,1982,Physiological Zoology,Effect of weight and temperature upon oxygen consumption of the land planarian Bipalium kewense ,55,2,148-154,10.1086/physzool.55.2.30155850,,,,
Journal Article,J. Damuth,1987,Biological Journal of the Linnaean Society,Interspecific allometry of population density in mammals and other animals: the independence of body mass and population energy use,31,3,193-246,10.1111/j.1095-8312.1987.tb01990.x,,,,
Journal Article,R. M. Daniel; M. J. Danson,2010,Trends in Biochemical Sciences,A new understanding of how temperature affects the catalytic activity of enzymes,35,10,584-591,10.1016/j.tibs.2010.05.001,,,,
Journal Article,R. M. Daniel; M. J. Danson; R. Eisenthal; C. K. Lee; M. E. Peterson,2007,Biochemical Society Transactions,New parameters controlling the effect of temperature on enzyme activity,35,,1543-1546,10.1042/BST0351543,,,,
Journal Article,J. Davison,1956,Biological Bulletin,An analysis of cell growth and metabolism in the crayfish (Procambarus alleni),110,3,264-273,10.2307/1538832,,,,
Journal Article,T. H. Dawson,2001,Journal of Experimental Biology,Similitude in the cardiovascular system of mammals,204,3,395-407,10.1242/jeb.204.3.395,,,,
Journal Article,T. H. Dawson,2003,"Proceedings of the Royal Society of London, Series B",Scaling laws for capillary vessels of mammals at rest and in exercise,270,1516,755-763,10.1098/rspb.2002.2304,,,,
Journal Article,T. H. Dawson,2010,Cancer Research,Scaling laws for plasma concentrations and tolerable doses of anticancer drugs,70,12,4801-4808,10.1158/0008-5472.CAN-09-3261,,,,
Journal Article,A. I. Dell; S. Pawar; V. M. Savage,2014,Journal of Animal Ecology,Temperature dependence of trophic interactions are driven by asymmetry of species responses and foraging strategy,83,1,70-84,10.1111/1365-2656.12081,,,,
Journal Article,A. I. Dell; S. S. Pawar; V. M. Savage,2011,Proceedings of the National Academy of Sciences of the United States of America,Systematic variation in the temperature dependence of physiological and ecological traits,108,26,10591-10596,10.1073/pnas.101518108,,,,
Journal Article,J. P. DeLong; J. G. Okie; M. E. Moses; R. M. Sibly; J. H. Brown,2010,Proceedings of the National Academy of Sciences of the United States of America,"Shifts in metabolic scaling, production, and efficiency across major evolutionary transitions of life",107,29,12941-12945,10.1073/pnas.1007783107,,,,
Journal Article,P. S. Dodds; D. H. Rothman; J. S. Weitz,2001,Journal of Theoretical Biology,"Re-examination of the 3/4-law"" of metabolism""",209,1,Sep-27,10.1006/jtbi.2000.2238,,,,
Journal Article,R. Dudley,1998,Journal of Experimental Biology,"Atmospheric oxygen, giant Paleozoic insects and the evolution of aerial locomotor performance",201,8,1043-1050,10.1242/jeb.201.8.1043,,,,
Journal Article,R. P. Duncan; D. M. Forsyth; J. Hone,2007,Ecology,Testing the metabolic theory of ecology: allometric scaling exponents in mammals,88,2,324-333,10.1890/0012-9658(2007)88[324:TTMTOE]2.0.CO;2,,,,
Journal Article,J. M. Durden; B. J. Bett; C. L. Huffard; H. A. Ruhl; K. L. Smith,2019,Ecology,Abyssal deposit-feeding rates consistent with the metabolic theory of ecology,100,1,article e02564,10.1002/ecy.2564,,,,
Journal Article,J. J. Elser; D. R. Dobberfuhl; N. A. MacKay; J. H. Schampel,1996,Bioscience,"Organism size, life history, and N:P stoichiometry: toward a unified view of cellular and ecosystem processes",46,9,674-684,10.2307/1312897,,,,
Journal Article,J. J. Elser; W. F. Fagan; A. J. Kerkhoff; N. G. Swenson; B. J. Enquist,2010,New Phytologist,"Biological stoichiometry of plant production: metabolism, scaling and ecological response to global change",186,3,593-608,10.1111/j.1469-8137.2010.03214.x,,,,
Journal Article,J. J. Elser; W. F. Fagan; S. Subramanian; S. Kumar,2006,Molecular Biology and Evolution,Signatures of ecological resource availability in the animal and plant proteomes,23,10,1946-1951,10.1093/molbev/msl068,,,,
Journal Article,J. J. Elser; R. W. Sterner; E. Gorochkova; W. F. Fagan; T. A. Markow; J. B. Cotner; J. F. Harrison; S. E. Hobbie; G. M. Odell; L. J. Weider,2000,Ecology Letters,Biological stoichiometry from genes to ecosystems,3,6,540-550,10.1046/j.1461-0248.2000.00185.x,,,,
Book,C. S. Elton,1927,,,,,209,,Animal ecology,,London,Sidgwick & Jackson
Journal Article,B. J. Enquist; S. Brody; G. B. West,1998,Nature,Allometric scaling of plant energetics and population density,395,6698,163-165,10.1038/25977,,,,
Journal Article,B. J. Enquist; A. J. Kerkhoff; S. C. Stark; N. G. Swenson; M. C. McCarthy; C. A. Price,2007,Nature,"A general integrative model for scaling plant growth, carbon flux, and functional trait spectra",449,7159,218-222,10.1038/nature06061,,,,
Book Section,B. J. Enquist; G. B. West; J. H. Brown,2000,,Quarter-power allometric scaling in vascular plants: functional basis and ecological consequences,,,167-198,,Scaling in biology,J. H. Brown; G. B. West,Oxford,Oxford University Press
Journal Article,B. J. Enquist; G. B. West; J. H. Brown,2009,Proceedings of the National Academy of Sciences of the United States of America,Extensions and evaluations of a general quantitative theory of forest structure and dynamics,106,17,7046-7051,10.1073/pnas.0812303106,,,,
Journal Article,B. J. Enquist; G. B. West; E. L. Charnov; J. H. Brown,1999,Nature,Allometric scaling of production and life-history variation in vascular plants,401,6756,907-911,10.1038/44819,,,,
Journal Article,R. S. Etienne; M. E. F. Apol; H. Olff,2006,Functional Ecology,"Demystifying the West, Brown & Enquist model of the allometry of metabolism",20,2,394-399,10.1111/j.1365-2435.2006.01136.x,,,,
Journal Article,M. G. Evans; M. Polanyi,1935,Transactions of the Faraday Society,"Some applications of the transition state method to the calculation of reaction velocities, especially in solution ",31,,875-894,10.1039/TF9353100875 ,,,,
Journal Article,H. Eyring,1935,Journal of Chemical Physics,The activated complex in chemical reactions,3,,107,10.1063/1.1749604,,,,
Journal Article,K. D. Farnsworth; K. J. Niklas,1995,Functional Ecology,"Theories of optimization, form and function in branching architecture in plants",9,3,355-363,10.2307/2389997,,,,
Journal Article,G. A. Finenko; B. E. Anninsky; Z. A. Romanova; G. I. Abolmasova; A. E. Kideys,2001,Hydrobiologia,"Chemical composition, respiration and feeding rates of the new alien ctenophore, Beroe ovata, in the Black Sea",451,,177-186,10.1023/A:1011819819448,,,,
Book,J. J. R. Fra sto da Silva; R. J. P. Williams,2001,,,,,575,,The biological chemistry of the elements: the inorganic chemistry of life,,Oxford,Oxford University Press
Journal Article,R. P. Freckleton,2009,Journal of Evolutionary Biology,The seven deadly sins of comparative analysis,22,7,1367-1375,10.1111/j.1420-9101.2009.01757.x,,,,
Journal Article,R. P. Freckleton; P. H. Harvey; M. Pagel,2002,American Naturalist,Phylogenetic analysis and comparative data: a test and review of evidence,160,6,712-726,10.1086/343873,,,,
Journal Article,H. L. Galasso; M. Richard; S. Lefebvre; C. Aliaume; M. Callier,2018,PeerJ,Body size and temperature effects on standard metabolic rate for determining metabolic scope for activity of the polychaete Hediste (Nereis) diversicolor,6,,article e5675,10.7717/peerj.5675,,,,
Journal Article,L. S. Garcia-Corral; J. M. Holding; P. Carrillo-de-Albornoz; A. Steckbauer; M. P rez-Lorenzo; N. Navarro; P. Serret; J. M. Gasol; X. A. G. Mor n; M. Estrada; E. Fraile-Nuez; V. Ben tez-Barrios; S. Agusti; C. M. Duarte,2017,Global Biogeochemical Cycles,Temperature dependence of plankton community metabolism in the subtropical and tropical oceans,31,7,1141-1154,10.1002/2017GB005629,,,,
Journal Article,S. Gatti; T. Brey; W. E. G. M ller; O. Heilmayer; G. Holst,2002,Marine Biology,Oxygen microoptodes: a new tool for oxygen measurements in aquatic animal ecology,140,6,1075-1085,10.1007/s00227-002-0786-9,,,,
Journal Article,J. Gayon,2000,American Zoologist,History of the concept of allometry,40,4,748-758,10.1668/0003-1569(2000)040[0748:HOTCOA]2.0.CO;2,,,,
Journal Article,P. Gehr; D. K. Mwangi; A. Ammann; G. M. O. Maloiy; C. R. Taylor; E. R. Weibel,1981,Respiration Physiology,Design of the mammalian respiratory system.  V.  Scaling morphometric pulmonary diffusing capacity to body mass: wild and domesticated mammals,44,1,61-86,10.1016/0034-5687(81)90077-3,,,,
Journal Article,S. M. Giancarli; A. E. Dunham; M. P. O'Connor,2023,Physiological and Biochemical Zoology,Clade-specific allometries in avian basal metabolic rate demand a broader theory of allometry,96,3,216-232,10.1086/725207,,,,
Book Section,J. F. Gillooly; A. P. Allen; J. H. Brown,2006,,Food-web structure and dynamics: reconciling alternative ecological currencies,,,209-220,,Ecological networks: linking structure to dynamics in food webs,M. Pascual; J. A. Dunne,Oxford,Oxford University Press
Journal Article,J. F. Gillooly; A. P. Allen; J. H. Brown; J. J. Elser; C. Martinez del Rio; V. M. Savage; G. B. West; W. H. Woodruff; H. A. Woods,2005,Proceedings of the National Academy of Sciences of the United States of America,The metabolic basis of whole-organism RNA and phosphorus content,102,33,11923-11927,10.1073/pnas.0504756102,,,,
Journal Article,J. F. Gillooly; A. P. Allen; G. B. West; J. H. Brown,2005,Proceedings of the National Academy of Sciences of the United States of America,The rate of DNA evolution: effects of body size and temperature on the molecular clock,102,1,140-145,10.1073/pnas.0407735101,,,,
Journal Article,J. F. Gillooly; J. H. Brown; G. B. West; V. M. Savage; E. L. Charnov,2001,Science,Effects of size and temperature on metabolic rate,293,,2248-2251,10.1126/science.1061967,,,,
Journal Article,J. F. Gillooly; J. P. Gomez; E. V. Mavrodiev,2017,"Proceedings of the Royal Society of London, Series B",A broad-scale comparison of aerobic activity levels in vertebrates: endotherms versus ectotherms,284,1849,article 20162328,10.1098/rspb.2016.2328,,,,
Journal Article,J. F. Gillooly; A. G. Ophir,2010,"Proceedings of the Royal Society of London, Series B",The energetic basis of acoustic communication,277,1686,1325-1331,10.1098/rspb.2009.2134,,,,
Journal Article,B. Gingras; M. Boeckle; C. T. Herbst; W. T. Fitch,2013,Journal of Zoology,Call acoustics reflect body size across four clades of anurans,289,2,143-150,10.1111/j.1469-7998.2012.00973.x,,,,
Journal Article,D. S. Glazier,2005,Biological Reviews,Beyond the '3/4-power law': variation in the intra- and interspecific scaling of metabolic rate in animals,80,4,611-662,10.1017/S1464793105006834,,,,
Journal Article,D. S. Glazier,2006,Bioscience,"The 3/4-power law is not universal: evolution of isometric, ontogenetic metabolic scaling in pelagic animals",56,4,325-332,10.1641/0006-3568(2006)56[325:TPLINU]2.0.CO;2,,,,
Journal Article,D. S. Glazier,2022,Biology Basel,How metabolic rate relates to cell size,11,8,article 1106,10.3390/biology11081106,,,,
Journal Article,D. S. Glazier; M. G. Powell; T. J. Deptola,2012,Paleobiology,Body-size scaling of metabolic rate in the trilobite Eldredgeops rana,39,1,109-122,10.1666/0094-8373-39.1.109,,,,
Book,F. B. Golley,1993,,,,,254,,A history of the ecosystem concept in ecology: more than the sum of the parts,,New Haven and London,Yale University Press
Journal Article,J. M. Grady; B. S. Maitner; A. S. Winter; K. Kaschner; D. P. Tittensor; S. Record; F. A. Smith; A. M. Wilson; A. I. Dell; P. L. Zarnetske; H. J. Wearing; B. Afar; J. H. Brown,2019,Science,Metabolic asymmetry and the global diversity of marine predators,363,6425,366-373,10.1126/science.aat4220,,,,
