# id: GB/NERC/BAS/PDC/02058
# title: A compilation of metabolic rate, body mass and body temperature (where available) data for a range of vertebrate and invertebrate species
# summary: Data on the resting metabolic rate, body mass and body temperature data for a range of vertebrate and invertebrate taxa culled from the literature for a comprehensive study of scaling relationships.
# : The data are global in extent.
# : Funding acknowledgement: 
# : BAS Core Funding
# keywords: mass,metabolic rate,scaling,temperature
# citation: Clarke, A., & Johnston, N.M. (2025). A compilation of metabolic rate, body mass and body temperature (where available) data for a range of vertebrate and invertebrate species (Version 1.0) [Data set]. NERC EDS UK Polar Data Centre. https://doi.org/10.5285/8d9ffd4a-16c0-4d48-9fc9-02988676ef78
# license: http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
# history: Data for mammals, birds, reptiles, echinoderms, cephalopods and cnidarians were from previous compilations available in the published scientific literature.  Data for fish were compiled from published studies, validated and collated.
# comment: With the exception of the data for teleost fish, data were extracted from the literature, relying on quality control by the original compiler.  The fish data were edited to exclude data where fish were active, or where the range of body mass was too small for scaling parameters to be determined with precision.
# : The data have not been processed other than converting original units to SI where appropriate. For publication the data were analysed using Minitab (version 16) and R (version 4.4.2).
# institution: British Antarctic Survey
# authors: Andrew Clarke,Nadine M. Johnston
# publisher_name: NERC EDS UK Polar Data Centre
# publisher_type: institution
# publisher_email: pdc@bas.ac.uk
# publisher_url: https://www.bas.ac.uk/data/uk-pdc/
# [a]: unique number for each data record
# [b]: live body mass (g)
# [c]: body temperature (Celsius)
# [d]: metabolic rate
# [e]: metabolic rate units (W or mW)
# [f]: score indicating which data were used when there are more than one record for a species (1 = used, 0 = not used)
# missing values:*
Ref [a],Phylum,Class,Species,Mb [b],Tb [c],MR [d],Unit (MR) [e],Usage [f]
158,Chordata,Mammalia,Sciurus carolinensis,440,38.7,2.062,W,1
159,Chordata,Mammalia,Spermophilus armatus,320,35.7,0.889,W,1
160,Chordata,Mammalia,Spermophilus beecheyi,599.6,37.6,1.773,W,1
161,Chordata,Mammalia,Spermophilus beldingi,303,35.5,0.71,W,1
162,Chordata,Mammalia,Spermophilus citellus,240,37.5,1.272,W,1
163,Chordata,Mammalia,Spermophilus franklinii,607,36.6,2.19,W,1
164,Chordata,Mammalia,Spermophilus lateralis,237,36.3,0.8,W,1
165,Chordata,Mammalia,Spermophilus mohavensis,240,37,0.629,W,1
166,Chordata,Mammalia,Spermophilus parryi,650,37,2.901,W,1
167,Chordata,Mammalia,Spermophilus richardsoni,274,35.5,0.734,W,1
168,Chordata,Mammalia,Spermophilus satutatus,252.2,*,0.9,W,1
169,Chordata,Mammalia,Spermophilus spilosoma,174,36.1,0.514,W,1
170,Chordata,Mammalia,Spermophilus tereticaudus,167,36.3,0.522,W,1
171,Chordata,Mammalia,Spermophilus townsendii,229,35.6,0.587,W,1
172,Chordata,Mammalia,Spermophilus tridecemlineatus,205.4,35.7,0.783,W,1
173,Chordata,Mammalia,Spermophilus undulatus,680,38,3.721,W,1
174,Chordata,Mammalia,Tamias alpinus,39,*,0.322,W,1
175,Chordata,Mammalia,Tamias amoenus,57.1,37,0.537,W,1
176,Chordata,Mammalia,Tamias merriami,75,37,0.44,W,1
177,Chordata,Mammalia,Tamias minimus,45.8,37,0.406,W,1
178,Chordata,Mammalia,Tamias palmeri,69.4,*,0.631,W,1
179,Chordata,Mammalia,Tamias striatus,87.4,38.2,0.502,W,1
180,Chordata,Mammalia,Tamiasciurus hudsonicus,228.3,39.4,1.42,W,1
181,Chordata,Mammalia,Xerus inauris,542,36.8,1.82,W,1
182,Chordata,Mammalia,Xerus princeps,602,37.6,1.897,W,1
183,Chordata,Mammalia,Glis glis,200,37.7,0.881,W,1
184,Chordata,Mammalia,Graphiurus murinus,38.43,*,0.225,W,1
185,Chordata,Mammalia,Graphiurus ocularis,67.8,*,0.37,W,1
186,Chordata,Mammalia,Muscardinus avellanarius,23.5,35.8,0.351,W,1
187,Chordata,Mammalia,Chaetodipus baileyi,29.1,32.5,0.192,W,1
188,Chordata,Mammalia,Chaetodipus californicus,22,38,0.119,W,1
189,Chordata,Mammalia,Chaetodipus fallax,19.6,32.6,0.15,W,1
190,Chordata,Mammalia,Chaetodipus formosus,15.1,*,0.103,W,1
191,Chordata,Mammalia,Chaetodipus hispidus,39.5,36.8,0.276,W,1
192,Chordata,Mammalia,Chaetodipus intermedius,15.9,36,0.106,W,1
193,Chordata,Mammalia,Chaetodipus penicillatus,16,*,0.125,W,1
194,Chordata,Mammalia,Dipodomys agilis,60.6,37,0.355,W,1
195,Chordata,Mammalia,Dipodomys deserti,106,36.8,0.514,W,1
196,Chordata,Mammalia,Dipodomys heermanni,63.3,*,0.408,W,1
197,Chordata,Mammalia,Dipodomys merriami,36.5,37,0.237,W,1
198,Chordata,Mammalia,Dipodomys microps,57.2,35,0.373,W,1
199,Chordata,Mammalia,Dipodomys nitratoides,37.8,*,0.257,W,1
200,Chordata,Mammalia,Dipodomys ordii,46.8,34.6,0.358,W,1
201,Chordata,Mammalia,Dipodomys panamintinus,64.2,36.9,0.414,W,1
202,Chordata,Mammalia,Heteromys anomalus,69.3,36,0.561,W,1
203,Chordata,Mammalia,Heteromys desmarestianus,75.8,33.8,0.553,W,1
204,Chordata,Mammalia,Liomys irroratus,48.1,37,0.301,W,1
205,Chordata,Mammalia,Liomys salvani,43.8,37,0.262,W,1
206,Chordata,Mammalia,Microdipodops megacephalus,11,32.8,0.168,W,1
207,Chordata,Mammalia,Microdipodops pallidus,15.2,39.3,0.11,W,1
208,Chordata,Mammalia,Perognathus flavus,8.3,34.6,0.097,W,1
209,Chordata,Mammalia,Perognathus longimembris,8.9,34.7,0.053,W,1
210,Chordata,Mammalia,Perognathus parvus,19.2,*,0.16,W,1
211,Chordata,Mammalia,Geomys bursarius,197,35,0.769,W,1
212,Chordata,Mammalia,Geomys pinetis,173,36.3,0.743,W,1
213,Chordata,Mammalia,Thomomys bottae,143,36,0.67,W,1
214,Chordata,Mammalia,Thomomys talpoides,106.8,36.2,0.792,W,1
215,Chordata,Mammalia,Thomomys umbrinus,85,34.6,0.403,W,1
216,Chordata,Mammalia,Dipus sagitta,160,36.8,0.676,W,1
217,Chordata,Mammalia,Jaculus jaculus,75,37.5,0.515,W,1
218,Chordata,Mammalia,Jaculus orientalis,139,37,0.775,W,1
219,Chordata,Mammalia,Napaeozapus insignis,22,37,0.221,W,1
220,Chordata,Mammalia,Sicista betulina,10,37,0.179,W,1
221,Chordata,Mammalia,Zapus hudsonius,23.8,37.3,0.199,W,1
222,Chordata,Mammalia,Cannomys badius,344,36,0.96,W,1
223,Chordata,Mammalia,Spalax ehrenbergi,128,36,0.614,W,1
224,Chordata,Mammalia,Spalax leucodon,201,36.3,0.83,W,1
225,Chordata,Mammalia,Steatomys pratensis,37.54,34.1,0.105,W,1
226,Chordata,Mammalia,Tatera indica,87,*,0.422,W,1
227,Chordata,Mammalia,Cricetomys gambianus,1870,35.6,6.364,W,1
228,Chordata,Mammalia,Malacothrix typica,21.7,37,0.115,W,1
229,Chordata,Mammalia,Mystromys albicaudatus,93.78,33,0.707,W,1
230,Chordata,Mammalia,Petromyscus collinus,20.41,*,0.115,W,1
231,Chordata,Mammalia,Saccostomus campestris,61.3,35.3,0.287,W,1
232,Chordata,Mammalia,Stochomys longicaudatus,84.2,*,0.544,W,1
233,Chordata,Mammalia,Abrothrix andinus,34.6,37.7,0.361,W,1
234,Chordata,Mammalia,Abrothrix lanosus,24,*,0.254,W,1
235,Chordata,Mammalia,Abrothrix longipilis,42.3,37.4,0.321,W,1
236,Chordata,Mammalia,Abrothrix olivaceus,27,37.2,0.276,W,1
237,Chordata,Mammalia,Akodon albiventer,31,*,0.259,W,1
238,Chordata,Mammalia,Akodon azarae,24,37.7,0.228,W,1
239,Chordata,Mammalia,Arborimus longicaudus,21.8,37.3,0.329,W,1
240,Chordata,Mammalia,Arvicola amphibius,92,37.5,0.595,W,1
241,Chordata,Mammalia,Auliscomys boliviensis,76.8,36.3,0.617,W,1
242,Chordata,Mammalia,Baiomys taylori,7.15,36,0.095,W,1
243,Chordata,Mammalia,Calomys callosus,50.1,*,0.395,W,1
244,Chordata,Mammalia,Calomys lepidus,16,*,0.161,W,1
245,Chordata,Mammalia,Calomys musculinus,16.9,36.2,0.154,W,1
246,Chordata,Mammalia,Calomys venustus,50.1,37.1,0.403,W,1
247,Chordata,Mammalia,Chelemys macronyx,62,36.8,0.454,W,1
248,Chordata,Mammalia,Chionomys nivalis,32.8,*,0.452,W,1
249,Chordata,Mammalia,Cricetulus migratorius,30.7,38.1,0.245,W,1
250,Chordata,Mammalia,Cricetus cricetus,362,39.5,1.293,W,1
251,Chordata,Mammalia,Dicrostonyx groenlandicus,59.62,38.4,0.551,W,1
252,Chordata,Mammalia,Eligmodontia typus,17.5,36.4,0.167,W,1
253,Chordata,Mammalia,Euneomys chinchilloides,65.4,*,0.471,W,1
254,Chordata,Mammalia,Graomys griseoflavus,69.4,36.1,0.469,W,1
255,Chordata,Mammalia,Isthmomys pirrensis,137.9,37.6,0.677,W,1
256,Chordata,Mammalia,Lasiopodomys brandtii,40.2,*,0.428,W,1
257,Chordata,Mammalia,Lemmiscus curtatus,30.3,37.1,0.281,W,1
258,Chordata,Mammalia,Lemmus lemmus,80,37.8,1.071,W,1
259,Chordata,Mammalia,Lemmus sibiricus,50.2,38.3,0.503,W,1
260,Chordata,Mammalia,Loxodontomys micropus,62.3,37.4,0.546,W,1
261,Chordata,Mammalia,Megadontomys thomasi,110.8,37.8,0.692,W,1
262,Chordata,Mammalia,Mesocricetus auratus,98,38.1,0.82,W,1
263,Chordata,Mammalia,Mesocricetus brandti,40.2,36.2,0.414,W,1
264,Chordata,Mammalia,Microtus agrestis,28,37.6,0.355,W,1
265,Chordata,Mammalia,Microtus arvalis,20,37,0.346,W,1
266,Chordata,Mammalia,Microtus breweri,53.1,37.3,0.412,W,1
267,Chordata,Mammalia,Microtus californicus,44,38.8,0.38,W,1
268,Chordata,Mammalia,Microtus guentheri,43.8,38.3,0.447,W,1
269,Chordata,Mammalia,Microtus longicaudis,28.6,38,0.377,W,1
270,Chordata,Mammalia,Microtus mexicanus,28.8,37.9,0.262,W,1
271,Chordata,Mammalia,Microtus montanus,35.1,35.3,0.465,W,1
272,Chordata,Mammalia,Microtus ochrogaster,46.7,37.9,0.441,W,1
273,Chordata,Mammalia,Microtus oeconomus,33.7,38.4,0.563,W,1
274,Chordata,Mammalia,Microtus pennsylvanicus,38.9,38.5,0.419,W,1
275,Chordata,Mammalia,Microtus pinetorum,25.5,38.3,0.326,W,1
276,Chordata,Mammalia,Microtus richardsoni,65.65,38.7,0.714,W,1
277,Chordata,Mammalia,Microtus subterraneus,17.8,*,0.276,W,1
278,Chordata,Mammalia,Microtus townsendii,52.2,*,0.504,W,1
279,Chordata,Mammalia,Microtus xanthognathus,68.5,38,0.55,W,1
280,Chordata,Mammalia,Myodes californicus,18.3,37.5,0.341,W,1
281,Chordata,Mammalia,Myodes glareolus,24.6,*,0.32,W,1
282,Chordata,Mammalia,Myodes rufocanus,27,*,0.32,W,1
283,Chordata,Mammalia,Myodes rutilus,28,*,0.43,W,1
284,Chordata,Mammalia,Myopus schisticolor,26.4,39,0.522,W,1
285,Chordata,Mammalia,Neofiber alleni,258.1,37.1,1.209,W,1
286,Chordata,Mammalia,Neotoma albigula,183,*,0.75,W,1
287,Chordata,Mammalia,Neotoma cinerea,205.1,*,0.941,W,1
288,Chordata,Mammalia,Neotoma fuscipes,187,36.6,0.824,W,1
289,Chordata,Mammalia,Neotoma lepida,110,36.8,0.485,W,1
290,Chordata,Mammalia,Ochrotomys nuttalli,19.5,36.4,0.151,W,1
291,Chordata,Mammalia,Oligoryzomys longicaudatus,28.2,37.3,0.285,W,1
292,Chordata,Mammalia,Ondatra zibethicus,1004.6,37.4,3.586,W,1
293,Chordata,Mammalia,Onychomys torridus,19.1,*,0.165,W,1
294,Chordata,Mammalia,Oxymycterus roberti,83.5,38.3,0.508,W,1
295,Chordata,Mammalia,Peromyscus boylii,23.2,36.4,0.303,W,1
296,Chordata,Mammalia,Peromyscus californicus,47.6,36.4,0.292,W,1
297,Chordata,Mammalia,Peromyscus crinitus,15.9,35.7,0.14,W,1
298,Chordata,Mammalia,Peromyscus eremicus,21.5,36.6,0.185,W,1
299,Chordata,Mammalia,Peromyscus gossypinus,21.5,37.5,0.206,W,1
300,Chordata,Mammalia,Peromyscus keeni,28.3,36.2,0.261,W,1
301,Chordata,Mammalia,Peromyscus leucopus,20,36.7,0.185,W,1
302,Chordata,Mammalia,Peromyscus maniculatus,23.19,37.2,0.257,W,1
303,Chordata,Mammalia,Peromyscus megalops,66.2,*,0.506,W,1
304,Chordata,Mammalia,Peromyscus polionotus,12,37.2,0.12,W,1
305,Chordata,Mammalia,Peromyscus truei,33.3,36.7,0.349,W,1
306,Chordata,Mammalia,Phenacomys intermedius,21.5,37.9,0.375,W,1
307,Chordata,Mammalia,Phodopus sungorus,25.7,36.1,0.228,W,1
308,Chordata,Mammalia,Phyllotis darwini,59,36.2,0.398,W,1
309,Chordata,Mammalia,Phyllotis magister,62.8,*,0.385,W,1
310,Chordata,Mammalia,Phyllotis xanthopygus,55,37.3,0.316,W,1
311,Chordata,Mammalia,Phyllotis chilensis,49,37.1,0.354,W,1
312,Chordata,Mammalia,Podomys floridanus,30.8,*,0.288,W,1
313,Chordata,Mammalia,Reithrodon auritus,78.7,38,0.428,W,1
314,Chordata,Mammalia,Reithrodontomys megalotis,9,36.8,0.13,W,1
315,Chordata,Mammalia,Scotinomys teguina,12,37.6,0.174,W,1
316,Chordata,Mammalia,Scotinomys xerampelinus,15.2,36.2,0.178,W,1
317,Chordata,Mammalia,Sigmodon alleni,137.8,*,1.134,W,1
318,Chordata,Mammalia,Sigmodon fulviventer,137.8,*,1.157,W,1
319,Chordata,Mammalia,Sigmodon hispidus,139.3,38.1,1.285,W,1
320,Chordata,Mammalia,Sigmodon leucotis,128.6,*,1.04,W,1
321,Chordata,Mammalia,Sigmodon ochrognathus,115.1,*,0.86,W,1
322,Chordata,Mammalia,Acomys cahirinus,42,37.5,0.258,W,1
323,Chordata,Mammalia,Acomys russatus,55.55,37.3,0.239,W,1
